rank,project_id,candidate_status,candidate_status_reasons,reference_availability,detected_output_types,workbook_candidate_count,candidate_permitted_input_count,current_cohort,previous_screening_status,previous_bundle_status,total_score
1,1121107,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,8,8,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,101.298546
2,1120902,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,11,11,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,101.035176
3,1120801,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,10,10,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,94.924449
4,1141201,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,94.650557
5,1121102,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,6,6,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,93.33112
6,1130610,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,6,6,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,90.803806
7,1120706,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,6,6,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,89.559066
8,1130104,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,5,5,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,89.382606
9,1150104,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,89.031426
10,1140201,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,88.79815
11,1141106,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,87.336408
12,1140706,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,87.19409
13,1130901,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,86.881329
14,1131105,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,5,5,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,86.358773
15,1140606,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,5,5,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,86.332352
16,1130505,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,85.930146
