材料清單,,,,,,,,
項目,規    格    說    明,單位,數量,單  價,複  價,備  註,,
,屏東縣林邊溪伏流水示範場址開發計畫,,,,,,,
(一),供電場所配電部份,,,,,,,
1,屋外型烤漆不銹鋼電錶箱2.0t(需符合台電法規),只,1,21000,21000,詳圖,,
2,錶前閘刀開關 KS-3P-400A-600V,只,1,2600,2600,,,
3,無熔線斷路器NFB-3P-250AF/225AT_25KA-380V,只,1,3500,3500,,,
5,自備桿7.5m水泥電桿及配件,支,1,,不含估價,,,
6,錶箱設備接地 R<50Ω,式,1,,不含估價,,,
7,台電端設備接地 R<10Ω,式,1,,不含估價,,,
8,自備桿零星工料,式,1,,不含估價,,,
9,運雜費及安裝費,式,1,,不含估價,,,
10,工具損耗及其他,式,1,,不含估價,,,
,小計,,,,0,,,
(二),電氣照明及插座,,,,0,,,
1,不銹鋼埋入式分電箱,只,1,,不含估價,,,
2,無熔線斷路器，2P，30AT，100AF-10KA,只,1,,不含估價,,,
3,無熔線斷路器，2P，20AT，50AF-10KA,只,1,,不含估價,,,
4,無熔線斷路器，2P，15AT，50AF-10KA,只,2,,不含估價,,,
5,照明燈具，吸頂日光燈，LED 20W× 2,組,2,,不含估價,,,
6,照明燈具，單切暗夜光指示開關(含蓋板),只,1,,不含估價,,,
7,照明燈具，雙插座，接地型(含蓋板),只,3,,不含估價,,,
8,照明燈具，四角、八角等出線口BOX,式,1,,不含估價,,,
9,600V聚氯乙烯絕緣電線，絞線，8.0mm2/1C,M,30,,不含估價,,,
10,600V聚氯乙烯絕緣電線，絞線，5.5mm2/1C,M,50,,不含估價,,,
11,600V聚氯乙烯絕緣電線，單線，2.0mm,M,30,,不含估價,,,
12,硬質聚氯乙烯塑膠管，E管，標稱20mm，含管配件,M,50,,不含估價,,,
13,零星工料,式,1,,不含估價,,,
14,運雜費及配管配線安裝費,式,1,,不含估價,,,
15,工具損耗及其他,式,1,,不含估價,,,
,小計,,,,0,,,
(三),動力盤 配電控制部份,,,,0,,,
1,屋內型不銹鋼板烤漆MP箱體，(門板t=2.5mm，側板t=2.0mm),只,1,46000,46000,詳圖,,
2,屋外型不銹鋼板烤漆隔離體，(門板t=2.5mm，側板t=2.0mm),只,2,18000,36000,詳圖,,
3,無熔線斷路器，3P，225AT/250AF-25KA-380V,只,1,3500,3500,,,
4,無熔線斷路器，3P，40AT/125AF-25KA-380V,只,1,1600,1600,,,
5,無熔線斷路器，3P，30AT/125AF-25KA-380V,只,1,1600,1600,,,
6,無熔線斷路器，3P，15AT/100AF-25KA-380V,只,1,1600,1600,,,
7,無熔線斷路器，2P，20AT/100AF-25KA-220V,只,2,1000,2000,,,
8,無熔線斷路器，2P，20AT/50AF-15KA-220V,只,1,1000,1000,,,
9,無熔線斷路器，2P，15AT/50AF-15KA-220V,只,3,1000,3000,,,
10,漏電斷路器，3P，150AT/250AF-25KA-380V(100mA延時型),只,1,6500,6500,,,
11,漏電斷路器，3P，100AT/125AF-25KA-380V(100mA延時型),只,1,4500,4500,,,
12,隔離閘刀開關 KS-3P-150A-600V,只,4,1300,5200,,,
13,保險絲2-6A(D-FUSE) 600V 附座,式,1,1400,1400,,,
14,電源用突波消除器40KA(8/20μs)(含HRC HUSE-50A),組,1,,不含估價,,,
15,SE保護電驛-附CC,只,2,3200,6400,,,
16,比流器，300/5A，40VA,只,3,1700,5100,,,
17,比流器，200/5A，40VA,只,3,1700,5100,,,
18,比流器，100/5A，40VA,只,3,1700,5100,,,
19,電流錶 0-300A,只,1,1000,1000,,,
20,電壓錶 0-600V,只,1,1000,1000,,,
21,電流切換開關 3∮3W (AS),只,1,500,500,,,
22,電壓切換開關 3∮3W (VS),只,1,500,500,,,
23,多功能集合式電表(PM),只,1,,不含估價,,,
24,低壓變壓器，乾式，1∮ TR 3KVA  220V/110V,只,1,8100,8100,,,
25,低壓緩衝起動器，3ψ380V，45KW級(內建BY PASS),組,1,,不含估價,,,
26,低壓緩衝起動器，3ψ380V，30KW級(內建BY PASS),組,1,,不含估價,,,
27,電磁接觸器 MC 440V 20KW級,只,1,900,900,,,
28,電磁接觸器 MC 440V 30KW級,只,1,1200,1200,,,
29,低壓電容器組，(3∮440V)，20KVAR,只,1,4500,4500,,,
30,低壓電容器組，(3∮440V)，15KVAR,只,1,3500,3500,,,
31,切換開關∮30mm 2a-2b,只,4,320,1280,,,
32,照光式按鈕開關∮30mm ON-OFF,只,4,490,1960,,,
33,3P-150A 端子,只,2,180,360,,,
34,3P-300A 端子,只,1,350,350,,,
35,盤內照明(附微動開關),組,2,900,1800,,,
36,盤內通風扇(附溫度開關),只,2,1100,2200,,,
37,盤內加熱器(附濕度開關),只,1,2800,2800,,,
38,設備接地 R<50Ω(責任施工),只,1,,不含估價,,,
39,設備接地測試箱(R<50Ω)，不銹鋼板烤漆(含接地銅牌),只,1,,不含估價,,,
40,配電盤PC基礎座(210kgf/cm2混凝土),式,1,,不含估價,,,
41,配電盤銅匯流排及固定架,式,1,6000,6000,,,
42,配電盤盤內補助電驛,式,1,2500,2500,,,
43,配電盤五金、另料、端子及名牌等,式,1,4000,4000,,,
44,配電盤配線材料費,式,1,15000,15000,含電錶箱,,
45,配電盤組立工資,式,1,39000,39000,含電錶箱,,
46,零星工料,式,1,1800,1800,,,
47,運雜費及安裝費,式,1,,不含估價,,,
48,工具損耗及其他,式,1,,不含估價,,,
,小計,,,,0,,,
(四),監控及監視設備部份,,,,0,,,
1,屋內型不銹鋼板烤漆PLC箱體，(門板t=2.5mm，側板t=2.0mm),只,1,46000,46000,詳圖,,
2,無熔線斷路器，2P，20AT/50AF-5KA-110V,只,1,600,600,,,
3,無熔線斷路器，2P，15AT/50AF-5KA-220V,只,5,600,3000,,,
4,低壓變壓器，乾式，1∮ TR 2KVA  220V/110V,只,1,5100,5100,,,
5,迴路保護器(CP) 2P 3～16A IC≧6KA/110V,只,10,400,4000,,,
6,電源供應器 DC24V 150W,只,1,900,900,,,
