台灣自來水公司第五區管理處,,,,,,
單價分析表[標單],,,,,,
,工程名稱：義竹所六區支受援水量計汰換工程,,,,,
項次：,工程編號：WR100501A4,,,,第 1 頁 共 44 頁,
1,工作項目：自來水用金屬管材另件，標稱管徑300mm，日間施工，埋設,,單位：M/件,,計價代碼：025010D11A,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,開挖機，0.60~0.69m3，總重12噸,時,0.09,,,
,技術工,工,0.02,,,
,大工,工,0.02,,,
,零星工料,式,1,,,
,計,M/件,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 M/件 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
2,工作項目：自來水用金屬管材另件，標稱管徑300mm，日間施工，安裝,,單位：10M/件,,計價代碼：025010D12A,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,電動吊車,時,0.65,,,(含作業手)
,技術工,工,0.1,,,
,大工,工,0.07,,,
,零星工料,式,1,,,
,合計,10M/件,,,,
,計,M/件,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 M/件 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
　　投標廠商：　　　　　　　　　　　　　　　　　　　負責人：,,,,,,
台灣自來水公司第五區管理處,,,,,,
單價分析表[標單],,,,,,
,工程名稱：義竹所六區支受援水量計汰換工程,,,,,
項次：,工程編號：WR100501A4,,,,第 2 頁 共 44 頁,
3,工作項目：自來水用金屬管材另件，標稱管徑300mm，日間施工，拆除,,單位：10M/件,,計價代碼：025010D13A,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,開挖機，0.60~0.69m3，總重12噸,時,0.5,,,
,傾卸貨車，含覆蓋,時,0.3,,,
,技術工,工,0.06,,,
,零星工料,式,1,,,
,合計,10M/件,,,,
,計,M/件,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 M/件 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
4,工作項目：自來水用金屬管材另件，標稱管徑300mm，夜間施工，埋設,,單位：M/件,,計價代碼：025010D21A,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,開挖機，0.60~0.69m3，總重12噸,時,0.09,,,
,技術工，夜間,工,0.04,,,
,大工，夜間,時,0.03,,,
,零星工料,式,1,,,
,計,M/件,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 M/件 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
　　投標廠商：　　　　　　　　　　　　　　　　　　　負責人：,,,,,,
台灣自來水公司第五區管理處,,,,,,
單價分析表[標單],,,,,,
,工程名稱：義竹所六區支受援水量計汰換工程,,,,,
項次：,工程編號：WR100501A4,,,,第 3 頁 共 44 頁,
5,工作項目：自來水用金屬管材另件，標稱管徑300mm，夜間施工，安裝,,單位：10M/件,,計價代碼：025010D22A,
