台灣自來水公司第五區管理處,,,,,,,
材料清單,,,,,,,
,,,,,第 1 頁 共 6 頁,,
工程名稱,古坑所梅山站支援竹崎所機電工程,,,會計科目,,,
施工地點,嘉義縣梅山鄉,,,工程編號,WR100519A8,,
項 次,項  目  及  說  明,單 位,數 量,單 價,複 價,編碼(備註),
項 次,項  目  及  說  明,單 位,數 量,單 價,複價,    備     註,
<一>,　施工費：(發包部份),,,,,,
<A>,　　施工費(項目),,,,,,
1,"產品，沉水式電動抽水機，7.5≦額定功率＜15kW備機用(含廠內組裝,試水,附件及運費)",套,7,,不含估價,詳規範,
2,"產品，沉水式電動抽水機，25≦額定功率＜40kW含廠內組裝,試水,附件及運費",套,2,,不含估價,詳規範,
3,20HP沉水式電動抽水機現場安裝試車費,台,3,,不含估價,,
4,50HP沉水式電動抽水機現場安裝試車費,台,2,,不含估價,,
5,"產品，揚水管，不鏽鋼管，標稱管徑150mm,厚4mm",M,9,,不含估價,sus304,
6,配水池打鑿孔(配合抽水機口徑),孔,3,,不含估價,,
7,抽水機基板(不銹鋼SUS304)(700mm*700mm*20mm),kg,234,,不含估價,,
8,吊車、搬運及安裝費,全,1,,不含估價,,
9,產品，低壓配電盤，配電箱( 屋內型),座,1,60000,60000,詳圖說,
10,屋外型開關儀表箱(不銹鋼不含基座)含隔熱板(屋外型),只,2,30000,60000,詳圖說資料,
11,產品，低壓配電盤，五金及另料,式,1,8280,8280,,
12,產品，低壓配電盤，銅匯流排及固定架，附有絕緣，200A交流,M,1,6000,6000,,
13,產品，低壓馬達起動盤，起動器，變頻器，容量19kW,組,3,,不含估價,詳規範圖說,
14,產品，水量計，電磁式〈電傳訊式〉，標稱口徑200mm,套,1,,不含估價,詳規範圖說(含廠內試水),
15,產品，水量計，電磁式〈電傳訊式〉，安裝,組,1,,不含估價,,
16,產品，水量計，線路施配,組,1,,不含估價,,
17,"產品，水壓計，LED指示器(四位數以上不含小數位),含不銹鋼管及另件",套,1,,不含估價,,
18,產品，水壓計，安裝,套,1,,不含估價,,
19,分水鞍200m/m×20m/m,只,1,,不含估價,,
20,產品，電力監視及控制設備，多功能集合式電表，數位式,個,3,,不含估價,詳規範圖說,
21,產品，低壓配電盤，比流器，100/5A,個,9,1600,14400,,
22,產品，電力監視及控制設備，PLC，PLC基座,組,1,,不含估價,配合現場廠牌,
23,產品，電力監視及控制設備，PLC，PLC電源模組,組,1,,不含估價,配合現場廠牌,
24,產品，電力監視及控制設備，PLC，數位輸入模組,組,2,,不含估價,配合現場廠牌,
25,產品，電力監視及控制設備，PLC，數位輸出模組,組,2,,不含估價,配合現場廠牌,
26,產品，電力監視及控制設備，PLC，PLC.CPU模組,組,1,,不含估價,配合現場廠牌,
27,產品，電力監視及控制設備，PLC，類比輸入模組,組,2,,不含估價,配合現場廠牌,
28,產品，電力監視及控制設備，PLC，類比輸出模組,組,2,,不含估價,配合現場廠牌,
29,產品，電力監視及控制設備，PLC，通訊模組,組,1,,不含估價,配合現場廠牌,
30,產品，電力監視及控制設備，PLC，乙太網路模組(ENET),組,1,,不含估價,配合現場廠牌,
31,產品，電力監視及控制設備，電源避雷器,個,3,,不含估價,,
32,產品，電力監視及控制設備，訊號避雷器,個,3,,不含估價,,
33,"產品，高壓配電盤，盤內照明及微動開關，1只日光燈，(110V，20W),2只風扇",組,1,2600,2600,,
34,產品，無熔線斷路器，3P，250A，400AF，25kA，220V，AC,只,1,8500,8500,詳規範圖說,
35,產品，無熔線斷路器，3P，15(3)A，30AF，2.5kA，220V，AC,只,3,1100,3300,詳規範圖說,
36,產品，無熔線斷路器，2P，15(6)A，30AF，2.5kA，110/220V，AC,只,9,1000,9000,詳規範圖說,
37,"產品，漏電斷路器，電流動作型，3P，125A，250AF,25kA，220V",個,3,12000,36000,詳規格及圖說明,
38,產品，電力監視及控制設備，電源供應器,組,3,,不含估價,,
39,"PC路面鑿除、管溝挖掘及修復費及廢棄物清除,約70m",式,1,,不含估價,,
40,211kg/cm2混凝土,m3,2,,不含估價,,
41,產品，導線管，硬質聚氯乙烯塑膠管，E管，標稱41mm,M,400,,不含估價,,
42,產品，導線管，硬質聚氯乙烯塑膠管，E管，標稱28mm,M,600,,不含估價,,
43,產品，電線及電纜，600V交連聚乙烯絕緣聚氯乙烯被覆電力電纜(XLPE)，單心，22mm2,M,1200,,不含估價,,
44,產品，電線及電纜，600V交連聚乙烯絕緣聚氯乙烯被覆電力電纜(XLPE)，單心，30mm2,M,100,,不含估價,,
45,產品，電線及電纜，600V聚氯乙烯絕緣電線，2/C 2.0mm2,M,200,,不含估價,,
46,產品，電線及電纜，遮蔽電纜，2/C，1.25mm2,M,400,,不含估價,,
47,"LED燈具含安裝工資及另料,60W以上",盞,6,,不含估價,既有水銀燈汰換,
48,PID控制器(四段設定)(比例.積分.微分),只,3,,不含估價,詳規範,
49,產品，低壓配電盤，定時器，24小時，附停電補償,個,3,4300,12900,詳規範圖說,
50,延時開關(1sec~6Hr)AC 220V,只,15,400,6000,,
51,"信號分配器(一對二,DC 4-20mA)",只,3,,不含估價,,
52,RY補助電驛 AC110-220V/6A ,式,1,2600,2600,,
53,時間計算器(五位以上) ,只,3,1200,3600,,
54,產品，電力監視及控制設備，自動-手動選擇開關,個,3,320,960,,
55,產品，低壓配電盤，交替電驛,個,3,1300,3900,,
56,"產品，控制開關，照光按鈕開關，接點規格250VAC 5A，2a,2b",個,6,490,2940,,
57,"產品，控制開關，按鈕開關，接點規格250VAC 5A，2a,2b",個,6,220,1320,,
58,產品，指示燈，30mmφ,個,3,300,900,,
59,閃爍電驛 (FR) ,只,3,1200,3600,,
60,產品，低壓配電盤，螺栓保險絲，2A，含基座,個,12,100,1200,,
61,配電其他零星設備安裝工資,式,1,32000,32000,,
62,PLC及圖控軟體程式撰寫費(含區處),式,1,,不含估價,,
63,台電及電信申請變更代辦費,式,1,,不含估價,,
64,系統操作教育訓練費,式,1,,不含估價,,
,運費卡車可達地面不含現場搬定位,式,1,,不含估價,,
,圖面設計及管理費,式,1,20000,20000,,
,,,,,0,,
,,,,小計,300000,未稅,
,順大電機賴明春111/3/28,,,,,,
　　投標廠商：　　　　　　　　　　　　　　　　　　　負責人：,,,,,,,
