台灣自來水公司第五區管理處,,,,,,
單價分析表[標單],,,,,,
,工程名稱：雲林廠轄下場站原水井流量計改善工程,,,,,
項次：,工程編號：WR10051994,,,,第 1 頁 共 5 頁,
1,工作項目：電磁式∮200mm水量計汰換及安裝,,單位：全,,計價代碼：040148-1007,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,∮200mm水量計本體(含感測器及傳訊器),,1,,,
,Hart/Modbus通訊轉換器,只,1,,,
,電源避雷器,只,2,,,
,水量計檢驗費,式,1,,,含報告
,信號避雷器,只,4,,,
,∮200mm電磁式水量計安裝費,式,1,,,含斷管、管件拆裝、安裝試車
,水量計配管配線及安裝另料,式,1,,,
,工具損耗及其他,全,1,,,
,計,全,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 全 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
2,工作項目：電磁式∮150mm水量計汰換及安裝,,單位：全,,計價代碼：040148-1006,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,∮150mm水量計本體(含感測器及傳訊器),,1,,,
,Hart/Modbus通訊轉換器,只,1,,,
,電源避雷器,只,2,,,
,水量計檢驗費,式,1,,,含報告
,信號避雷器,只,4,,,
,∮150mm電磁式水量計安裝費,式,1,,,含斷管、管件拆裝、安裝試車
,水量計配管配線及安裝另料,式,1,,,
,工具損耗及其他,全,1,,,
,計,全,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 全 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
　　投標廠商：　　　　　　　　　　　　　　　　　　　負責人：,,,,,,
台灣自來水公司第五區管理處,,,,,,
單價分析表[標單],,,,,,
,工程名稱：雲林廠轄下場站原水井流量計改善工程,,,,,
項次：,工程編號：WR10051994,,,,第 2 頁 共 5 頁,
3,工作項目：回填土,,單位：m3,,計價代碼：0232311001,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,鏟土機,時,0.1,,,
,大工,工,0.02,,,
,小工,工,0.02,,,
,工具損耗,式,1,,,
,計,m3,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 m3 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
4,工作項目：機械整體粉光,,單位：m2,,計價代碼：1701100001,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,粉光機租金,M2,1,,,
,水泥(50KG),包,0.02,,,
,技術工,工,0.03,,,
,小工,工,0.02,,,
,工具損耗,式,1,,,
,計,m2,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 m2 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
　　投標廠商：　　　　　　　　　　　　　　　　　　　負責人：,,,,,,
台灣自來水公司第五區管理處,,,,,,
單價分析表[標單],,,,,,
,工程名稱：雲林廠轄下場站原水井流量計改善工程,,,,,
項次：,工程編號：WR10051994,,,,第 3 頁 共 5 頁,
5,工作項目：機械挖方,,單位：m3,,計價代碼：0231600100,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,挖土機租金(含作業手)PC120,時,0.03,,,
,小工,工,0.025,,,
,工具損耗,式,1,,,
,計,m3,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 m3 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
6,工作項目：普通模板,,單位：M2,,計價代碼：0311010000,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,5分厚木料,M2,1,,,
,洋釘及鐵絲,KG,0.2,,,
,技術工,工,0.12,,,
,小工,工,0.05,,,
,工具損耗,式,1,,,
,計,M2,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 M2 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
　　投標廠商：　　　　　　　　　　　　　　　　　　　負責人：,,,,,,
台灣自來水公司第五區管理處,,,,,,
單價分析表[標單],,,,,,
,工程名稱：雲林廠轄下場站原水井流量計改善工程,,,,,
項次：,工程編號：WR10051994,,,,第 4 頁 共 5 頁,
7,工作項目：拆除混凝土,,單位：M3,,計價代碼：0000111,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,鑿岩機,時,1,,,
,二級工,時,1.2,,,
,三級工,時,0.44,,,
,小工,工,0.4,,,
,工具損耗及其他,全,1,,,
,計,M3,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 M3 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
8,工作項目：預拌混凝土140kgf/cm2,,單位：M3,,計價代碼：03301202113,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,預拌混凝土140kgf/cm2,M3,1,,,
,技術工,工,0.07,,,
,小工,工,0.08,,,
,震動機,時,0.2,,,
,養護及其他什費,全,1,,,
,機電設備及電動費,全,0.1,,,
,工具損耗,全,1,,,
,計,M3,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 M3 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
　　投標廠商：　　　　　　　　　　　　　　　　　　　負責人：,,,,,,
台灣自來水公司第五區管理處,,,,,,
單價分析表[標單],,,,,,
,工程名稱：雲林廠轄下場站原水井流量計改善工程,,,,,
項次：,工程編號：WR10051994,,,,第 5 頁 共 5 頁,
9,工作項目：鋼筋及加工排紮,,單位：kg,,計價代碼：0321011001,
