台灣自來水公司第五區管理處,,,,,,
詳細價目表[標單],,,,,,
工程名稱,雲林廠轄下場站原水井流量計改善工程,,,會計科目,,
施工地點,雲林縣 斗六市埤仔頭場、崙背鄉番社場、台西線三條崙場、台西線麥寮場,,,工程編號,WR10051994,
項 次,項  目  及  說  明,單 位,數 量,單 價,複 價,編碼(備註)
<壹>,施工費,,,,,
<一>,　施工費：(發包部份),,,,,
<13>,　　　配電盤部份,,,,,
1,低壓配電盤，閉鎖配電箱，一般屋外型，304不銹鋼板,座,4,31000,124000,詳圖說及規格
,配電盤部份為水量計儀表箱估價盤內只含1只NFB提供電源及器材固定不含水量計及附屬設備,,,,,
,水量計,組,4,,供料,
<14>,　　　圖控軟體部份及其他,,,,,
1,PLC軟體程式設計、修正、規劃,式,1,,不含估價,
2,圖控軟體程式設計、修正、規劃,式,1,,不含估價,雲林廠轄下各場站同步更新(含區處)
3,吊車費,式,1,,不含估價,流量計和管件吊掛用
,低壓配電盤，閉鎖配電箱，一般屋外型，304不銹鋼板,座,2,36000,72000,詳圖說及規格
,配電盤部份為水量計儀表箱估價盤內只含1只NFB(排風扇組)提供電源及器材固定不含水量計及附屬設備,,,,,
,水量計,組,2,,供料,
,運費卡車可達地面不含現場搬運定位,式,1,,0,
,圖面設計及管理費,式,1,9000,9000,
,,,,小記,205000,未稅
,順大電機賴明春111/4/19,,,,,
　　投標廠商：　　　　　　　　　　　　　　　　　　　負責人：,,,,,,
