file_id,source_root,relative_path,archive_member_path,project_id,project_name,customer,file_name,extension,size_bytes,modified_time,sha256,content_fingerprint,duplicate_of,primary_role,secondary_tags,drawing_output_type,generator_eligibility,forbidden_signature_match,classification_confidence,basis,parse_status,review_status,notes,absolute_path
SRC-ALL-PROJECTS-FILE-5D0E531F48D9,SRC-ALL-PROJECTS,115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\1150101 生管文件\1150101榮陳-林內淨水場淨廢水系統(已填).xlsx,,1150101,1150101榮陳-林內淨水場淨廢水系統,榮陳,1150101榮陳-林內淨水場淨廢水系統(已填).xlsx,.xlsx,89294,1782109393.1016035,33F480C06E2E42C5650481E7B6F72ECA4CAAFD22971D2B8CDA10B5610DAE08B5,33F480C06E2E42C5650481E7B6F72ECA4CAAFD22971D2B8CDA10B5610DAE08B5,,forbidden_production_control_file,生管文件,,FORBIDDEN,True,0.95,path_and_label_bootstrap_classifier,NOT_PARSED,BOOTSTRAP_CLASSIFIED,,C:\Users\alex1\OneDrive\Desktop\All Projects\115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\1150101 生管文件\1150101榮陳-林內淨水場淨廢水系統(已填).xlsx
SRC-ALL-PROJECTS-FILE-FDC5E3F20A87,SRC-ALL-PROJECTS,115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\1150101 生管文件\1150101榮陳-林內淨水場淨廢水系統(已填+).xlsx,,1150101,1150101榮陳-林內淨水場淨廢水系統,榮陳,1150101榮陳-林內淨水場淨廢水系統(已填+).xlsx,.xlsx,132851,1782109393.1196039,D769CE0A092F7F5D9EF279E9BA00DB11B44CF18D91B4E496C461098760A15ABD,D769CE0A092F7F5D9EF279E9BA00DB11B44CF18D91B4E496C461098760A15ABD,,forbidden_production_control_file,生管文件,,FORBIDDEN,True,0.95,path_and_label_bootstrap_classifier,NOT_PARSED,BOOTSTRAP_CLASSIFIED,,C:\Users\alex1\OneDrive\Desktop\All Projects\115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\1150101 生管文件\1150101榮陳-林內淨水場淨廢水系統(已填+).xlsx
SRC-ALL-PROJECTS-FILE-1E519E4D0102,SRC-ALL-PROJECTS,115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\1150101 生管文件\1150101榮陳-林內淨水場淨廢水系統(未填).xlsx,,1150101,1150101榮陳-林內淨水場淨廢水系統,榮陳,1150101榮陳-林內淨水場淨廢水系統(未填).xlsx,.xlsx,51950,1782109393.0836017,D594B207D3F1E9A5A1CD25D9FAEACD189B37778AA83CF9A4D8F9B34492FD4034,D594B207D3F1E9A5A1CD25D9FAEACD189B37778AA83CF9A4D8F9B34492FD4034,,forbidden_production_control_file,生管文件,,FORBIDDEN,True,0.95,path_and_label_bootstrap_classifier,NOT_PARSED,BOOTSTRAP_CLASSIFIED,,C:\Users\alex1\OneDrive\Desktop\All Projects\115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\1150101 生管文件\1150101榮陳-林內淨水場淨廢水系統(未填).xlsx
SRC-ALL-PROJECTS-FILE-05B1F2D2E65F,SRC-ALL-PROJECTS,115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\1150101 生管文件\1150101榮陳-林內淨水場淨廢水系統__VS_先買_請購驗收單_請簽核-232_stec.tw.pdf,,1150101,1150101榮陳-林內淨水場淨廢水系統,榮陳,1150101榮陳-林內淨水場淨廢水系統__VS_先買_請購驗收單_請簽核-232_stec.tw.pdf,.pdf,793308,1782109393.1436017,4D623BD8E688509CB8F8104930C90745409B6E46369515E09BEE29D7812739B2,4D623BD8E688509CB8F8104930C90745409B6E46369515E09BEE29D7812739B2,,forbidden_production_control_file,生管文件,,FORBIDDEN,True,0.95,path_and_label_bootstrap_classifier,NOT_PARSED,BOOTSTRAP_CLASSIFIED,,C:\Users\alex1\OneDrive\Desktop\All Projects\115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\1150101 生管文件\1150101榮陳-林內淨水場淨廢水系統__VS_先買_請購驗收單_請簽核-232_stec.tw.pdf
SRC-ALL-PROJECTS-FILE-64443483E7CD,SRC-ALL-PROJECTS,115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\1150101林內淨水場淨廢水系統-冷氣追加盤材料清單.pdf,,1150101,1150101榮陳-林內淨水場淨廢水系統,榮陳,1150101林內淨水場淨廢水系統-冷氣追加盤材料清單.pdf,.pdf,47491,1782109392.6906228,91B50212D1F0B3CC3A264BA9F5BA7DAAD2F7EB23119E05BA4F429142AAB133DD,91B50212D1F0B3CC3A264BA9F5BA7DAAD2F7EB23119E05BA4F429142AAB133DD,,supporting_document_non_generator,,,HUMAN_REVIEW_REQUIRED,False,0.35,path_and_label_bootstrap_classifier,NOT_PARSED,BOOTSTRAP_CLASSIFIED,,C:\Users\alex1\OneDrive\Desktop\All Projects\115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\1150101林內淨水場淨廢水系統-冷氣追加盤材料清單.pdf
SRC-ALL-PROJECTS-FILE-DB5312288431,SRC-ALL-PROJECTS,115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\工作記錄單榮陳林內淨水場淨廢水系統及相關設備改善.xls,,1150101,1150101榮陳-林內淨水場淨廢水系統,榮陳,工作記錄單榮陳林內淨水場淨廢水系統及相關設備改善.xls,.xls,161792,1782109392.6776023,2C67FFF7E24FB5419F70DA44D0CED8034E0FB0F01C95A66FC2870076B8189F2F,2C67FFF7E24FB5419F70DA44D0CED8034E0FB0F01C95A66FC2870076B8189F2F,,spreadsheet_other,,,HUMAN_REVIEW_REQUIRED,False,0.35,path_and_label_bootstrap_classifier,NOT_PARSED,BOOTSTRAP_CLASSIFIED,,C:\Users\alex1\OneDrive\Desktop\All Projects\115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\工作記錄單榮陳林內淨水場淨廢水系統及相關設備改善.xls
SRC-ALL-PROJECTS-FILE-A8257F2DB0C2,SRC-ALL-PROJECTS,115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\林內淨水場淨廢水系統及相關設備改善合約.xlsx,,1150101,1150101榮陳-林內淨水場淨廢水系統,榮陳,林內淨水場淨廢水系統及相關設備改善合約.xlsx,.xlsx,36019,1782109392.5946033,79FD5F06A6E29245B517B9EF6EF4754169076CB4E1FA613B1350385C41907327,79FD5F06A6E29245B517B9EF6EF4754169076CB4E1FA613B1350385C41907327,,allowed_contract_workbook,,,HUMAN_REVIEW_REQUIRED,False,0.7,path_and_label_bootstrap_classifier,NOT_PARSED,BOOTSTRAP_CLASSIFIED,,C:\Users\alex1\OneDrive\Desktop\All Projects\115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\林內淨水場淨廢水系統及相關設備改善合約.xlsx
SRC-ALL-PROJECTS-FILE-10F6CC76FD86,SRC-ALL-PROJECTS,115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\林內淨水場淨廢水系統及相關設備改善材料清單.xlsx,,1150101,1150101榮陳-林內淨水場淨廢水系統,榮陳,林內淨水場淨廢水系統及相關設備改善材料清單.xlsx,.xlsx,38371,1782109392.6076107,6857E51DD627A30B71222FA8EAB3FE1872673CC209E1DAB5A07B4152F12C3981,6857E51DD627A30B71222FA8EAB3FE1872673CC209E1DAB5A07B4152F12C3981,,allowed_material_list_workbook,,,HUMAN_REVIEW_REQUIRED,False,0.65,path_and_label_bootstrap_classifier,NOT_PARSED,BOOTSTRAP_CLASSIFIED,,C:\Users\alex1\OneDrive\Desktop\All Projects\115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\林內淨水場淨廢水系統及相關設備改善材料清單.xlsx
SRC-ALL-PROJECTS-FILE-A272E97CDEFC,SRC-ALL-PROJECTS,115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\榮陳林內淨水場淨廢水系統及相關設備改善會議審查.xls,,1150101,1150101榮陳-林內淨水場淨廢水系統,榮陳,榮陳林內淨水場淨廢水系統及相關設備改善會議審查.xls,.xls,92160,1782109392.6356018,420581153480CC5E4F1F829BE3961CC6C19036199745CC7732A5CF7123B224FC,420581153480CC5E4F1F829BE3961CC6C19036199745CC7732A5CF7123B224FC,,spreadsheet_other,,,HUMAN_REVIEW_REQUIRED,False,0.35,path_and_label_bootstrap_classifier,NOT_PARSED,BOOTSTRAP_CLASSIFIED,,C:\Users\alex1\OneDrive\Desktop\All Projects\115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\榮陳林內淨水場淨廢水系統及相關設備改善會議審查.xls
SRC-ALL-PROJECTS-FILE-D3B891AA4774,SRC-ALL-PROJECTS,115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\榮陳林內淨水場淨廢水系統及相關設備改善訂單成本分析.xls,,1150101,1150101榮陳-林內淨水場淨廢水系統,榮陳,榮陳林內淨水場淨廢水系統及相關設備改善訂單成本分析.xls,.xls,61952,1782109392.6225996,56D447CA87C740D64F096A96088EE47E08A78B4B0E47024C6E5CF9177E7E1A98,56D447CA87C740D64F096A96088EE47E08A78B4B0E47024C6E5CF9177E7E1A98,,spreadsheet_other,,,HUMAN_REVIEW_REQUIRED,False,0.35,path_and_label_bootstrap_classifier,NOT_PARSED,BOOTSTRAP_CLASSIFIED,,C:\Users\alex1\OneDrive\Desktop\All Projects\115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\榮陳林內淨水場淨廢水系統及相關設備改善訂單成本分析.xls
