project_id,project_path,project_name,file_count,workbook_count,allowed_contract_workbook_count,allowed_material_list_workbook_count,allowed_supporting_workbook_count,forbidden_production_control_file_count,forbidden_electrical_drawing_count,completed_production_drawing_reference_count,completed_sheetmetal_drawing_reference_count,completed_punch_drawing_reference_count,has_all_three_completed_targets,has_forbidden_sources,generator_candidate_status,notes
1150101,115年度工作\115年度工作\1150101榮陳-林內淨水場淨廢水系統\1150101 生管文件,1150101榮陳-林內淨水場淨廢水系統,22,10,1,1,0,4,3,0,7,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150102,115年度工作\115年度工作\1150102盛福八掌溪支線(3K+730~4K+240),1150102盛福八掌溪支線(3K+730~4K+240),18,10,1,1,0,7,1,0,3,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150103,115年度工作\115年度工作\1150103盛福八掌溪支線(4K+600~5K+130)\1150103 生管文件,1150103盛福八掌溪支線(4K+600~5K+130),17,10,1,1,0,6,1,0,3,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150104,115年度工作\115年度工作\1150104臻輊-阿里山軸帶旅運中心空間改善工程\1150104 生管文件,1150104臻輊-阿里山軸帶旅運中心空間改善工程,62,10,1,1,0,4,4,0,20,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150105,115年度工作\115年度工作\1150105昀興-永康國中現場修改,1150105昀興-永康國中現場修改,2,2,0,0,0,0,0,0,0,0,False,False,WORKSHEET_REVIEW_REQUIRED,
1150106,115年度工作\115年度工作\1150106器識-接線箱,1150106器識-接線箱,6,3,0,0,0,0,0,0,3,0,False,False,WORKSHEET_REVIEW_REQUIRED,
1150107,115年度工作\115年度工作\1150107瑨億-水里所集集水里場膠羽機汰換\1150107 生管文件,1150107瑨億-水里所集集水里場膠羽機汰換,18,10,1,1,0,6,1,0,4,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150108,115年度工作\115年度工作\1150108國倫-水電竹崎所緞繻村供水延管第二期\1150108 生管文件,1150108國倫-水電竹崎所緞繻村供水延管第二期,49,10,1,1,0,7,22,0,13,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150109,115年度工作\115年度工作\1150109文勝科技-儀表箱,1150109文勝科技-儀表箱,7,4,1,1,0,0,0,0,3,0,False,False,WORKSHEET_REVIEW_REQUIRED,
1150110,115年度工作\115年度工作\1150110詠翔鑫-漢泰開關箱\1150110 生管文件,1150110詠翔鑫-漢泰開關箱,13,7,0,1,0,5,1,0,3,0,False,True,WORKSHEET_REVIEW_REQUIRED,
