sheet_id,workbook_file_id,sheet_name,visibility,used_range,print_area,named_ranges,external_links,detected_project_id,detected_customer,detected_project_name,detected_date,detected_revision,stale_template_status,stale_evidence,generator_eligibility,approved_by,approval_time,parse_status,notes
SRC-ALL-PROJECTS-FILE-5D0E531F48D9-SHEET-001,SRC-ALL-PROJECTS-FILE-5D0E531F48D9,已填,visible,A1:Q453,,,,1150101,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1150101
SRC-ALL-PROJECTS-FILE-5D0E531F48D9-SHEET-002,SRC-ALL-PROJECTS-FILE-5D0E531F48D9,未填,visible,A1:Q285,,,,1150101,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1150101
SRC-ALL-PROJECTS-FILE-5D0E531F48D9-SHEET-003,SRC-ALL-PROJECTS-FILE-5D0E531F48D9,原材料清單,visible,A1:I319,,,,,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-FDC5E3F20A87-SHEET-001,SRC-ALL-PROJECTS-FILE-FDC5E3F20A87,已填 +,visible,A1:S469,,,,1150101,,,115.06.18,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1150101
SRC-ALL-PROJECTS-FILE-FDC5E3F20A87-SHEET-002,SRC-ALL-PROJECTS-FILE-FDC5E3F20A87,未填,visible,A1:Q285,,,,1150101,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1150101
SRC-ALL-PROJECTS-FILE-FDC5E3F20A87-SHEET-003,SRC-ALL-PROJECTS-FILE-FDC5E3F20A87,原材料清單,visible,A1:I319,,,,,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-FDC5E3F20A87-SHEET-004,SRC-ALL-PROJECTS-FILE-FDC5E3F20A87,已填,visible,A1:Q453,,,,1150101,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1150101
SRC-ALL-PROJECTS-FILE-1E519E4D0102-SHEET-001,SRC-ALL-PROJECTS-FILE-1E519E4D0102,未填,visible,A1:Q285,,,,1150101,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=1150101
SRC-ALL-PROJECTS-FILE-1E519E4D0102-SHEET-002,SRC-ALL-PROJECTS-FILE-1E519E4D0102,原材料清單,visible,A1:I319,,,,,,,,,FORBIDDEN_SOURCE,Forbidden label in file or worksheet content.,FORBIDDEN,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-DB5312288431-XLS-UNPARSED,SRC-ALL-PROJECTS-FILE-DB5312288431,,unknown,,,,,,,,,,HUMAN_REVIEW_REQUIRED,Legacy .xls parser not available in Phase 1 bootstrap scanner.,HUMAN_REVIEW_REQUIRED,,,UNSUPPORTED_XLS_PARSER_REQUIRED,
