project_id,project_path,project_name,file_count,workbook_count,allowed_contract_workbook_count,allowed_material_list_workbook_count,allowed_supporting_workbook_count,forbidden_production_control_file_count,forbidden_electrical_drawing_count,completed_production_drawing_reference_count,completed_sheetmetal_drawing_reference_count,completed_punch_drawing_reference_count,has_all_three_completed_targets,has_forbidden_sources,generator_candidate_status,notes
1110101,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2,1110101飛達鳥嘴潭下游送水管E-2,10,5,2,0,0,0,0,1,1,1,True,False,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED,
1110102,111年度工作\111年度工作\111年度訂單(已完成)\1110102聯電FAB 12A P6擴建工程氨氮廢水處理廠電氣工程,1110102聯電FAB 12A P6擴建工程氨氮廢水處理廠電氣工程,31,6,0,0,0,8,2,3,4,3,True,True,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED,
1110103,111年度工作\111年度工作\111年度訂單(已完成)\1110103國倫水電控制箱,1110103國倫水電控制箱,17,6,0,1,0,8,1,1,1,1,True,True,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED,
1110104,111年度工作\111年度工作\111年度訂單(已完成)\1110104飛達機電屏東縣林邊溪伏流水\1110104生管文件,1110104飛達機電屏東縣林邊溪伏流水,21,9,2,1,0,8,1,1,1,1,True,True,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED,
1110105,111年度工作\111年度工作\111年度訂單(已完成)\1110105宇博彰化番雅橋前操作箱,1110105宇博彰化番雅橋前操作箱,4,2,0,1,0,0,0,0,0,0,False,False,WORKSHEET_REVIEW_REQUIRED,
1110202,111年度工作\111年度工作\111年度訂單(已完成)\1110202宇博鹽埔及竹田淨水場,1110202宇博鹽埔及竹田淨水場,21,10,2,1,0,8,1,0,1,1,False,True,WORKSHEET_REVIEW_REQUIRED,
1110203,111年度工作\111年度工作\111年度訂單(已完成)\1110203宇博高雄廠大樹深井,1110203宇博高雄廠大樹深井,22,10,2,1,0,8,1,1,1,1,True,True,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED,
1110204,111年度工作\111年度工作\111年度訂單(已完成)\1110204宇博義竹所六區受支援水量計,1110204宇博義竹所六區受支援水量計,23,9,1,1,0,8,1,1,2,2,True,True,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED,
1110205,111年度工作\111年度工作\111年度訂單(已完成)\1110205昕辰嘉義縣中埔鄉頂寮村橫坑供水,1110205昕辰嘉義縣中埔鄉頂寮村橫坑供水,25,10,1,1,0,8,1,2,2,2,True,True,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED,
1110206,111年度工作\111年度工作\111年度訂單(已完成)\1110206榮陳義竹所傳訊箱修改,1110206榮陳義竹所傳訊箱修改,3,1,0,0,0,0,0,0,0,0,False,False,WORKSHEET_REVIEW_REQUIRED,
