,,,,,,,
,,成本分析表,,,,,
案件名稱:新陳科技員林三場11號井機電,,,,,,,
中華民國  110 年11月3 日                     ,,,,,,,PAGE ：1
,品名,鐵材成本,鈑金工資,噴漆工資,器材成本,電機工資,材質
1,MP&PLC盤,"73,000 ","30,000 ","6,000 ","82,400 ","45,000 ",SUS304
2,負載箱*1只,"7,800 ","5,500 ","1,200 ","4,500 ",含於上項,SUS304
3,電表相箱*1只,"9,700 ","5,000 ","1,500 ","7,700 ",含於上項,SUS304
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
20, 合計,"90,500","40,500","8,700","94,600","45,000",0
總額新台幣：,,,,,NT$,"279,300",
TOTAL  NT$,,,,,,,
,,,,,,,
,,,,,,,業務承辦
,,,,,,,
,,,,,,,賴明春
,,,,,,,
