,,,,,,,
,,成本分析表,,,,,
案件名稱:宇博實業  高雄廠大樹深井機電工程,,,,,,,
中華民國  111 年2月15 日                     ,,,,,,,PAGE ：1
,品名,鐵材成本,鈑金工資,噴漆工資,器材成本,電機工資,材質
1,MP盤3只,"144,000 ","79,500 ","16,800 ","296,880 ","138,000 ",SUS304
2,電表箱3只,"18,000 ","6,000 ","3,000 ","3,900 ","9,000 ",SUS304
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
20, 合計,"162,000","85,500","19,800","300,780","147,000",0
總額新台幣：,,,,,NT$,"715,080",
TOTAL  NT$,,,,,,,
,,,,,,,
,,,,,,,業務承辦
,,,,,,,
,,,,,,,賴明春
,,,,,,,
