,,,,順大電機股份有限公司工作記錄單,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表單編號 :R009,,,,,,,,,,,,,,填寫日期：,,,,111,,年,2,,月,15,,日,工程編號：        ,,,,,,,
*基本資料*,,,,,,,,,,,,*貨品內容*,,,,,,,,,,,,,,,,,,,,,,
訂購客戶,宇博實業股份有限公司,,,,,,,,,,,項次,盤名,,,,規格,,,,,,,,,數量,,單位,單價,,,總價,,
使用客戶,高雄廠大樹深井機電工程,,,,,,,,,,,01,MP盤,,,,1100W*2650H*1000D,,,,,,,,,3,,只,,,,          - ,,
品名,低壓配電盤,,,,,,,,,,,02,電錶箱,,,,400W*1200H*300D,,,,,,,,,3,,只,,,,          - ,,
單價,,,,,,,,,,,,03,,,,,,,,,,,,,,,,,,,,          - ,,
數量,落地型3只電表箱3只,,,,,,,,,,,04,,,,,,,,,,,,,,,,,,,,          - ,,
總價," 850,000 ",,, + ," 42,500 ",,(稅)=,," 892,500 ",,,05,,,,,,,,,,,,,,,,,,,,          - ,,
工作部門,鈑金 ,,v,塗裝,,v,電機 ,,, 事務,,06,,,,,,,,,,,,,,,,,,,,    - ,,
工作人員,,,,,,,,,,,,07,,,,,,,,,,,,,,,,,,,,          - ,,
預交日期,111,,年,4,,,月,20,,,日,08,,,,,,,,,,,,,,,,,,,,          - ,,
實交日期,,,年,,,,月,,,,日,09,,,,,,,,,,,,,,,,,,,,          - ,,
材質,SUS304,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,          - ,,
角鐵,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,          - ,,
厚度,2.5/2.0,,,,色彩,,,3#,,,,12,,,,,,,,,,,,,,,,,,,,          - ,,
交貨地點,高雄,,,,,,,,,,,*合計*,,,,,,,,,,,,,,,,,,,,          - ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,需送審圖,,,,,需送型錄,,
注意事項,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,須中檢,,,,,需成檢,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客戶資料,,,,,,,,,押標金金額,,,,,,支票號碼,,,,,,支票日期,,,,,歸還日期,,,,,備註,,,
採購,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聯絡人, 王小姐 ,,,,,,,,付款   方式,,比例,,金額,,,收款   日期,,票期,,,支票號碼,,,,支票金額,,,,現金金額,,,,備註,
電話,048820069,,,,,,,,訂金,,20,%,,,,,,,,,,,,,,,,,,,,,,
傳真,048820032,,,,,,,,二期款,,,%,,,,,,,,,,,,,,,,,,,,,,
地址,,,,,,,,,一期款,,70,%,,,,,,,,,,,,,,,,,,,,,,
統編,,,,,,,,,尾款,,10,%,,,,,,,,,,,,,,,,,,,,,,
備註,,,,,,,,,合計,,,%,,,,,,,,,已收款合計,,,,,,,,,,,,,
負責人：,,,,,,,,,,,經理：,,,,,,,,,,,,接洽：,,,賴明春,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
