台灣自來水公司第七區管理處,,,,,,,,
詳細價目表[標單],,,,,,,,
,,,,,,,,
,,,,,第 1 頁 共 6 頁,,,
,,,,,,,,
工程名稱,高雄廠大樹深井機電工程,,,會計科目,,,,
施工地點,高雄市大樹區  ,,,工程編號,WR1100701,,,
項 次,項  目  及  說  明,單 位,數 量,單 價, 複價 ,   廠  牌 ,   型  號 ,  備  註
<一>,施工費：(發包部份),,  ,,,,,
<A>,施工費(項目),,  ,,,,,
<1>,台電電表箱,,  ,,,,,
1,SUS304 MOF表前開關箱 t:2mm,盤, 3.00 ," 12,000 "," 36,000 ", 順大電機 ,,依台電標準
2,不鏽鋼環(束)帶,條, 15.00 ,, 不含估價 ,,,
3,K.S 錶前開關600V 3P 300A,只, 3.00 ," 1,400 "," 4,200 ", 光威 ,,
4,台電用電申請及申報竣工,處, 3.00 ,, 不含估價 ,,,
5,電表箱及配電設備組裝,全, 3.00 ," 3,000 "," 9,000 ",,,配合台電設備安裝施工
6,MOF電表箱安裝及水泥電桿設備安裝,支, 3.00 ,, 不含估價 ,,,
7,電信數據線路申請,處, 3.00 ,, 不含估價 ,,,
,台電電表箱計,,  ,,,,,
<2>,電力監控,,  ,,,,,
1,PLC程式規劃設計及修改,全, 1.00 ,, 不含估價 ,,,3處深井程式撰寫及介接
2,圖控程式軟體,全, 1.00 ,, 不含估價 ,,,無線點位及KEY
3,工業級電腦,全, 1.00 ,, 不含估價 ,,,詳圖控，含螢幕
4,圖控程式撰寫設計及修改,全, 1.00 ,, 不含估價 ,,,詳規範
5,新設圖控程式撰寫設計及修改,全, 1.00 ,, 不含估價 ,,,含轉移高雄廠監控資料及3處深井圖控程式
6,試運轉及訓練，訓練(含講義及講師費等),全, 1.00 ,, 不含估價 ,,,
7,設備操作補助費(試車完成至驗收完成期間),全, 1.00 ,, 不含估價 ,,,
8,系統試車費,全, 1.00 ,, 不含估價 ,,,
,電力監控計,,  ,,,,,
<3>,配管部分,,  ,,,,,
1,管件外露部份油漆,處, 3.00 ,, 不含估價 ,,,
2,鋼筋及加工排紮(含鋼筋),kg, 200.00 ,, 不含估價 ,,,
3,工具損耗及其他,式, 1.00 ,, 不含估價 ,,,
4,不銹鋼基礎螺栓L型 L:38cm M20,支, 24.00 ,, 不含估價 ,,,含工料.附不鏽鋼螺母及墊圈
5,深井基地整地費,處, 3.00 ,, 不含估價 ,,,含機具、回填料、人工、環境維護整理等
6,低壓配電盤，水泥基座,座, 3.00 ,, 不含估價 ,,,詳圖說
7,低壓配電盤，基礎台,座, 3.00 ,, 不含估價 ,,,詳圖說
8,低壓配電盤，運送及現場吊裝費,全, 1.00 ,, 不含估價 ,,,
9,140kg/cm2混凝土,M3, 50.00 ,, 不含估價 ,,,
10,200m/m×7.5Kgf/c㎡雙拉桿式伸縮接頭(DI製),支, 3.00 ,, 不含估價 ,,,
11,雙瓣式逆止閥φ300m/m,只, 3.00 ,, 不含估價 ,,,7.5kgf/cm2
12,不銹鋼考克掛手型φ25,只, 3.00 ,, 不含估價 ,,,
13,不銹鋼管另料及安裝,處, 3.00 ,, 不含估價 ,,,含不鏽鋼彎頭三通及車牙等
14,200m/m 電磁式流水量計,台, 3.00 ,, 不含估價 ,,,詳規範
15,200m/m 水量計安裝試車,套, 3.00 ,, 不含估價 ,,,含吊裝、伸縮拉桿、逆止閥等管線另件組裝
16,50HP沉水式電動抽水機3φ220V,套, 4.00 ,, 不含估價 ,,,詳規範
17,既設抽水機吊運雜費,台, 3.00 ,, 不含估價 ,,,既設抽水機吊拆、25T吊車及運載指定地點
18,沉水式電動抽水機安裝,台, 3.00 ,, 不含估價 ,,,含JP盤端子台、防水配電軟管、接頭及抽水機配件、吊裝及測試
19,壓力計(含附屬設備),, 1.00 ,, 不含估價 ,,,壓力指示器附RS485
20,路燈支架及工地安裝費,套, 1.00 ,, 不含估價 ,,,含製作不銹鋼支架及五金另件另料
21,LED照明設備，LED屋外投光燈具，電源供應器外置型，90W,套, 3.00 ,, 不含估價 ,,,詳圖
