台灣自來水公司第七區管理處,,,,,,,,,
資源統計表[標單],,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
工程編號,WR1100701,,,,,,,,
工程名稱,高雄廠大樹深井機電工程,,,,,單位﹝元﹞,第 1 頁 共 6 頁,,
,,,,,,,,,
工項代碼,工項名稱,單位,工程用量,單價,複價,人工,機具,材料,雜項
0000000001,PLC程式規劃設計及修改,全, 1.00 ,,,,,,
0000000002,圖控程式撰寫設計及修改,全, 1.00 ,,,,,,
0000000002-1,新設圖控程式撰寫設計及修改,全, 1.00 ,,,,,,
0000000002-3,圖控程式軟體,全, 1.00 ,,,,,,
0000000002-4,工業級電腦,全, 1.00 ,,,,,,
0000000015,電信無線線路GPS設備,, 3.00 ,,,,,,
0000000018,盤內照明9W(附LS),組, 3.00 ,,,,,,
0000000019,多功能電表RS485,只, 3.00 ,,,,,,
0000000020,3Φ220V 50KA 電源用突波消除器(附接點),組, 3.00 ,,,,,,
0000000021,1Φ110V 電源用避雷器,組, 3.00 ,,,,,,
0000000023,比流器(CT)200/5A 40VA CL1.0,只, 9.00 ,,,,,,
0000000024,3E馬達保護電驛(附SET),只, 3.00 ,,,,,,
0000000025,電流切換開關,只, 3.00 ,,,,,,
0000000026,廣角型電流錶0~200A,只, 3.00 ,,,,,,
0000000027,DC 24V 電源供應器,只, 3.00 ,,,,,,
0000000028,NFB 3P 250AF 200AT IC≧50KA/220V,只, 3.00 ,,,,,,
0000000029,NFB 3P 100AF 60AT IC≧25KA/220V,只, 3.00 ,,,,,,
0000000030,NFB 2P 50AF 20AT IC≧25KA/220V,只, 3.00 ,,,,,,
0000000031,NFB 2P 50AF 15AT IC≧25KA/220V,只, 3.00 ,,,,,,
0000000032,NFB 2P 50AF 15AT IC≧5KA/110V,只, 21.00 ,,,,,,
0000000035-1,DF-2A,只, 9.00 ,,,,,,
0000000036,ELCB 3P 250AF 175AT IC≧50KA/220V 100/200/500mA0.1sec,只, 3.00 ,,,,,,
0000000037,ELCB 3P 50AF 15AT IC≧25KA/220V 30mA0.1sec,只, 3.00 ,,,,,,
0000000038,AVR  2KVA  1∮2W 220/110V,只, 3.00 ,,,,,,
0000000039,UPS  1KVA  1∮2W 110/110V,只, 3.00 ,,,,,,
0000000041,"6""排風扇1∮220V附I P44過濾網組",只, 12.00 ,,,,,,
0000000042,Y-Δ電磁開關3∮220V 60HP級(含啟動電驛),組, 3.00 ,,,,,,
0000000043,電磁開關 1∮220V 1HP級,組, 6.00 ,,,,,,
0000000044,電磁接觸器 3∮220V 60A,只, 3.00 ,,,,,,
0000000045,電容器 3∮280V 20KVA,只, 3.00 ,,,,,,
0000000048,61F-G液位控制器,只, 3.00 ,,,,,,
0000000049,PH2深水電極,組, 3.00 ,,,,,,
0000000050,選擇開關(手動/自動)30mm∮,只, 15.00 ,,,,,,
0000000051,LED照光式按鈕開關30mm∮,只, 27.00 ,,,,,,
0000000052,LED指示燈30mm∮,只, 9.00 ,,,,,,
,,,,,,,,,
 　　　投標廠商：　　　　　　　　　　　　　　　　　　　　　　負責人：,,,,,,,,,
台灣自來水公司第七區管理處,,,,,,,,,
資源統計表[標單],,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
工程編號,WR1100701,,,,,,,,
工程名稱,高雄廠大樹深井機電工程,,,,,單位﹝元﹞,第 2 頁 共 6 頁,,
