,,,,,,
,,,,,,
,,,,,,
材料清單,,,,,,
,工程名稱：高雄廠大樹深井機電工程,,,,,
,,,,,,
項次：,工程編號：WR1100701,,,,,
5                             ,工作項目：深井配電盤,,單位：座,,計價代碼：0000000016-1,
,工料名稱,單位,數量,單價,複價, 備  註
,盤體：1000W×2350H×1000Dmm 屋外型 SUS 304  2.5/2.0mmt,座,1,"105,000.00"," 105,000.00 ",詳圖及規範
,盤內照明9W(附LS),組,1,"1,000.00"," 1,000.00 ",
,多功能電表RS485,只,1,, 不含估價 ,
,3Φ220V 50KA 電源用突波消除器(附接點),組,1,, 不含估價 ,詳規範
,1Φ110V 電源用避雷器,組,1,, 不含估價 ,
,比流器(CT)200/5A 40VA CL1.0,只,3,"1,800.00"," 5,400.00 ",
,3E馬達保護電驛(附SET),只,1,"3,200.00"," 3,200.00 ",
,電流切換開關,只,1,500.00, 500.00 ,
,廣角型電流錶0~200A,只,1,"1,100.00"," 1,100.00 ",
,DC 24V 電源供應器,只,1,, 不含估價 ,
,NFB 3P 250AF 200AT IC≧50KA/220V,只,1,"3,950.00"," 3,950.00 ",富士、三菱、施耐德或同等品
,NFB 3P 100AF 60AT IC≧25KA/220V,只,1,"1,900.00"," 1,900.00 ",富士、三菱、施耐德或同等品
,NFB 2P 50AF 20AT IC≧25KA/220V,只,1,"1,300.00"," 1,300.00 ",富士、三菱、施耐德或同等品
,NFB 2P 50AF 15AT IC≧25KA/220V,只,1,"1,300.00"," 1,300.00 ",富士、三菱、施耐德或同等品
,NFB 2P 50AF 15AT IC≧5KA/110V,只,7,"1,100.00"," 7,700.00 ",富士、三菱、施耐德或同等品
,DF-2A,只,3,100.00, 300.00 ,
,ELCB 3P 250AF 175AT IC≧50KA/220V 100/200/500mA0.1sec,只,1,"10,200.00"," 10,200.00 ",富士、三菱、施耐德或同等品
,ELCB 3P 50AF 15AT IC≧25KA/220V 30mA0.1sec,只,1,"3,000.00"," 3,000.00 ",富士、三菱、施耐德或同等品
,AVR  2KVA  1∮2W 220/110V,只,1,, 不含估價 ,
,UPS  1KVA  1∮2W 110/110V,只,1,, 不含估價 ,
,無熔線斷路器(迴路保護器)，額定啟斷容量AC 1KA，1P，額定電流6-3A，額定電壓AC 220V,只,5,300.00," 1,500.00 ",詳規範及圖
,低壓配電盤，盤內電熱器(含溫控開關),組,1,"2,800.00"," 2,800.00 ",詳規範
,"6""排風扇1∮220V附I P44過濾網組",只,4,"1,200.00"," 4,800.00 ",含溫控開關
,Y-Δ電磁開關3∮220V 60HP級(含啟動電驛),組,1,"16,500.00"," 16,500.00 ",含Y-Δ電譯
,電磁開關 1∮220V 1HP級,組,2,"1,000.00"," 2,000.00 ",含積熱電譯
,電磁接觸器 3∮220V 60A,只,1,"2,000.00"," 2,000.00 ",
,電容器 3∮280V 20KVA,只,1,"5,100.00"," 5,100.00 ",
,61F-G液位控制器,只,1,650.00, 650.00 ,(含深水井專用電極*2，長度配合抽水機安裝)
,PH2深水電極,組,1,0.00, 不含估價 ,
,選擇開關(手動/自動)30mm∮,只,5,300.00," 1,500.00 ",
,LED照光式按鈕開關30mm∮,只,9,490.00," 4,410.00 ",
,LED指示燈30mm∮,只,3,290.00, 870.00 ,
,補助電驛(含座),式,1,"4,200.00"," 4,200.00 ",西門子、施耐德、歐姆龍或同等品
,24T時間電驛,只,2,"1,600.00"," 3,200.00 ",
,接地型三連插座1ψ125V 15A,組,1,"1,100.00"," 1,100.00 ",含鋁製銘盒
,盤內配線及接線端子銅排,全,1,"8,900.00"," 8,900.00 ",
,各式另件(含五金、銘牌),全,1,"7,000.00"," 7,000.00 ",
,避雷接地銅排30*5*300mm,組,1,"2,000.00"," 2,000.00 ",含固定座
,訊號避雷接地銅排30*5*300mm,組,1,"2,000.00"," 2,000.00 ",含固定座
,設備接地銅排30*5*600mm,組,1,"3,800.00"," 3,800.00 ",含固定座
,開關箱，箱內控制線、電纜等線料,式,1,"4,000.00"," 4,000.00 ",
,開關箱，設備廠內組裝及測試,式,1,"45,000.00"," 45,000.00 ",
,開關箱，箱體組立及搬運安裝、測試,式,1,"15,000.00"," 15,000.00 ",含搬運至工地
,資料收集器底座(12插槽),只,1,, 不含估價 ,詳規範
,資料收集器專用電源模組,只,1,, 不含估價 ,詳規範
,資料收集器CPU模組,只,1,, 不含估價 ,詳規範
,資料收集器數位輸入模組,只,1,, 不含估價 ,詳規範
,資料收集器數位輸出模組,只,1,, 不含估價 ,詳規範
,資料收集器類比輸入模組,只,1,, 不含估價 ,詳規範
,資料收集器通信模組(MODBUS),只,1,, 不含估價 ,詳規範
,電信無線線路GPS設備,,1,, 不含估價 ,含測試安裝
,計,座,,," 284,180.00 ",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 座 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
,,,,,,
,,,,,,
　　投標廠商：　　　　　　　　　　　　　　　　　　　負責人：,,,,,,
