,,,,,,
,,,,,,
台灣自來水公司第十一區管理處,,,,,,
單價分析表[標單],,,,,,
,工程名稱：彰化-芬園鄉利民橋加壓機電等工程,,,,,
,,,,,,
項次：,工程編號：WR11110111,,,,第 1 頁 共 26 頁,
1,工作項目：25HP沉水式電動抽水機【適用於抽水桶】(含安裝),,單位：套,,計價代碼：M1121548754,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,產品，電動抽水泵，沉水式電動抽水機【適用於抽水桶】，揚程50m，出水量2000CMD，25HP  ,套,1,,,詳規範
,零件及附件(含五金另料),套,1,,,詳規範
,材料設備檢試驗費,式,1,,,詳規範
,工地安裝費,套,1,,,詳規範
,工地試車費,套,1,,,詳規範
,計,套,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 套 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
2,工作項目：自來水用金屬管材另件，標稱管徑200mm，日間施工，埋設,,單位：M/件,,計價代碼：025010B11A,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,開挖機，0.60~0.69m3，總重12噸,時,0.046,,,
,技術工,工,0.018,,,
,大工,工,0.01,,,
,零星工料,式,1,,,
,計,M/件,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 M/件 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
,,,,,,
,,,,,,
　　投標廠商：　　　　　　　　　　　　　　　　　　　負責人：,,,,,,
,,,,,,
,,,,,,
台灣自來水公司第十一區管理處,,,,,,
單價分析表[標單],,,,,,
,工程名稱：彰化-芬園鄉利民橋加壓機電等工程,,,,,
,,,,,,
項次：,工程編號：WR11110111,,,,第 2 頁 共 26 頁,
3,工作項目：自來水用金屬管材另件，標稱管徑200mm，日間施工，安裝,,單位：10M/件,,計價代碼：025010B12A,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,電動吊車,時,0.41,,,(含作業手)
,技術工,工,0.08,,,
,大工,工,0.05,,,
,零星工料,式,1,,,
,合計,10M/件,,,,
,計,M/件,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 M/件 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
4,工作項目：自來水用接頭管件，機械接頭(K型，含配件)，標稱管徑200mm，日間施工，安裝,,單位：口,,計價代碼：025021B00A,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,技術工,工,0.023,,,
,產品，自來水用接頭管件，機械接頭(K型，含配件)，標稱管徑200mm,組,1,,,
,零星工料,式,1,,,
,計,口,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 口 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
,,,,,,
,,,,,,
　　投標廠商：　　　　　　　　　　　　　　　　　　　負責人：,,,,,,
,,,,,,
,,,,,,
台灣自來水公司第十一區管理處,,,,,,
單價分析表[標單],,,,,,
,工程名稱：彰化-芬園鄉利民橋加壓機電等工程,,,,,
,,,,,,
項次：,工程編號：WR11110111,,,,第 3 頁 共 26 頁,
5,工作項目：自來水用接頭管件，機械接頭(K型，不含配件)，標稱管徑200mm，日間施工，安裝,,單位：口,,計價代碼：025022B00A,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,技術工,工,0.047,,,
,零星工料,式,1,,,
,計,口,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 口 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
6,工作項目：自來水管埋設，延性鑄鐵管，管徑200mm，凸緣接頭，安裝，日間施工,,單位：口,,計價代碼：025054E5021G,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,自來水用接頭管件，不鏽鋼螺栓,套,0.85,,,
,自來水用接頭管件，橡皮墊(RF型),處,0.92,,,
,技術工,工,0.0001,,,
,零星工料,式,1,,,
,計,口,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 口 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
,,,,,,
,,,,,,
　　投標廠商：　　　　　　　　　　　　　　　　　　　負責人：,,,,,,
,,,,,,
,,,,,,
台灣自來水公司第十一區管理處,,,,,,
單價分析表[標單],,,,,,
,工程名稱：彰化-芬園鄉利民橋加壓機電等工程,,,,,
,,,,,,
項次：,工程編號：WR11110111,,,,第 4 頁 共 26 頁,
7,工作項目：水泥混凝土鋪面、瀝青混凝土鋪面，路面切割費，日間施工,,單位：100M2,,計價代碼：02742000F2,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,瀝青混凝土切割機,式,1,,,
,技術工,工,0.876,,,
,小工,工,0.4555,,,
,產品，汽油,L,1,,,
,機具不分類，設備搬運費,式,1,,,
,零星工料,式,1,,,
,合計,100M2,,,,
,計,M2,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 M2 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
8,工作項目：臨時擋土支撐工法，木橫擋及支撐，含金屬支撐，日間施工,,單位：M2,,計價代碼：0225610002,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,小工,工,0.0175,,,
,大工,工,0.0285,,,
,產品，鐵釘,KG,0.2,,,
,擋土板用材料，損耗,式,1,,,
,零星工料,式,1,,,
,計,M2,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 M2 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
,,,,,,
,,,,,,
