,,,,,,,
,,成本分析表,,,,,
案件名稱:宇博實業  萬巒淨水場新建工程,,,,,,,
中華民國  110 年8月19 日                     ,,,,,,,PAGE ：1
,品名,鐵材成本,鈑金工資,噴漆工資,器材成本,電機工資,材質
1,MP1,"58,000 ","24,500 ","5,000 ","378,300 ","35,000 ",SUS304
2,SC,"58,000 ","24,500 ","5,000 ","146,900 ","38,000 ",SUS304
3,MP2,"58,000 ","24,500 ","5,000 ","124,600 ","32,000 ",SUS304
4,MP3,"58,000 ","24,500 ","5,000 ","78,800 ","34,000 ",SUS304
5,MP4,"58,000 ","23,500 ","4,500 ","95,500 ","38,000 ",SUS304
6,MP5,"58,000 ","24,500 ","5,000 ","69,200 ","32,500 ",SUS304
7,MP6,"58,000 ","24,500 ","5,000 ","43,100 ","28,000 ",SUS304
8,MP7,"58,000 ","24,500 ","5,000 ","118,200 ","41,000 ",SUS304
9,MP7-1,"58,000 ","24,500 ","5,000 ","72,200 ","29,000 ",SUS304
10,MP7-2,"70,000 ","30,000 ","5,500 ","77,500 ","31,000 ",SUS304
11,MP8,"88,000 ","24,500 ","5,000 ","120,800 ","33,000 ",SUS304
12,MP8-1,"88,000 ","24,500 ","5,000 ","50,900 ","32,000 ",SUS304
13,電表箱,"19,000 ","7,000 ","3,000 ","41,600 ","10,000 ",SUS304
14,接地箱*4只,"14,000 ","5,000 ","2,000 ","6,000 ","2,000 ",SUS304
15,LA,"5,500 ","2,500 ",800 ,"23,000 ","7,000 ",SUS304
16,接線箱*5只,"36,000 ","20,000 ","5,000 ","9,000 ","6,500 ",SUS304
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
20, 合計,"842,500","333,000","70,800","1,455,600","429,000",0
總額新台幣：,,,,,NT$,"3,130,900",
TOTAL  NT$,,,,,,,
,,,,,,,
,,,,,,,業務承辦
,,,,,,,
,,,,,,,賴明春
,,,,,,,
