,,,,,,,
,,成本分析表,,,,,
案件名稱:宇博實業  彰化芬園鄉利民橋加壓站,,,,,,,
中華民國  111 年4月12 日                     ,,,,,,,PAGE ：1
,品名,鐵材成本,鈑金工資,噴漆工資,器材成本,電機工資,材質
1,MP1盤,"71,000 ","28,000 ","4,000 ","95,900 ","38,000 ",SUS304
2,PLC盤,"58,000 ","24,000 ","3,500 ","32,000 ","18,000 ",SUS304
3,電表箱,"14,500 ","6,500 ","2,500 ","9,300 ","3,000 ",SUS304
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
20, 合計,"143,500","58,500","10,000","137,200","59,000",0
總額新台幣：,,,,,NT$,"408,200",
TOTAL  NT$,,,,,,,
,,,,,,,
,,,,,,,業務承辦
,,,,,,,
,,,,,,,賴明春
,,,,,,,
