,,,,順大電機股份有限公司工作記錄單,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,填寫日期：,,,,92,,年,4,,月,24,,日,工程編號：        ,,,920415,,,,
*基本資料*,,,,,,,,,,,,*貨品內容*,,,,,,,,,,,,,,,,,,,,,,
訂購客戶,安頂企業股份有限公司,,,,,,,,,,,項次,盤名,,,,規格,,,,,,,,,數量,,單位,單價,,,總價,,
使用客戶,得生製藥永康廠,,,,,,,,,,,01,"MOF,DS",,,,SUS304,,,,,,,,,2,,只,,,,          - ,,
品名,高低壓配電盤,,,,,,,,,,,02,"PT,VCB,DS,TR1,MP1,SC,ML,MP2,ATS,EMP,EML",,,,,,,,,,,,,11,,只,,,,          - ,,
單價,,,,,,,,,,,,03,"E1P+1P+E1L+1L,E1PA,1P(A~F)+1L(A~F)",,,,,,,,,,,,,7,,只,,,,          - ,,
數量,1式,,,,,,,,,,,04,"1PG,1PG-1,1MPA+1MLA,",,,,,,,,,,,,,3,,只,,,,          - ,,
總價," 2,476,190 ",,, + ," 123,810 ",,(稅)=,," 2,600,000 ",,,05,"1PA(1,2),1PB(1,2),1PC(1,2),1PE(1~3),1PE,1MPA(1~4)",,,,,,,,,,,,,14,,只,,,,          - ,,
工作部門,鈑金 ,,v,塗裝,,v,電機 ,,v, 事務,,06,"2P+E2P+2L+E2L,E2PA,2P(A~D)+2L(A~D)",,,,,,,,,,,,,6,,只,,,,    - ,,
工作人員,,,,,,,,,,,,07,"2PC(1~3),3PA,E3PA,E3P(B,C)+E3L(B,C),E3PD",,,,,,,,,,,,,8,,只,,,,          - ,,
預交日期,92,,年,10,,,月,30,,,日,08,"ERPA+ERLA,1PE4",,,,,,,,,,,,,2,,只,,,,          - ,,
實交日期,,,年,,,,月,,,,日,09,"接地,弱電箱",,,,,,,,,,,,,33,,只,,,,          - ,,
材質,SS41/SUS304,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,          - ,,
角鐵,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,          - ,,
厚度,3.0/2.5/2.0t,,,,色彩,,,60,,,,12,,,,,,,,,,,,,,,,,,,,          - ,,
交貨地點,得生製藥永康廠,,,,,,,,,,,*合計*,,,,,,,,,,,,,,,,,,,,          - ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,v,需送審圖,,,,v,需送型錄,,
注意事項,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,須中檢,,,,v,需成檢,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工期,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈑金(    )日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塗裝(    )日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
電機(    )日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工作進度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, 鈑金畢 ,,,,,,,塗裝畢,,,,,,,電機畢,,,,,,,交貨畢,,,,,,,收款畢,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客戶資料,,,,,,,,,押標金金額,,,,,,支票號碼,,,,,,支票日期,,,,,歸還日期,,,,,備註,,,
採購, 陳淑惠小姐 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聯絡人, 葉家銘 ,,,,,,,,付款   方式,,比例,,金額,,,收款   日期,,票期,,,支票號碼,,,,支票金額,,,,現金金額,,,,備註,
電話,2989000,,,,,,,,訂金,,10,%,,,,,,,,,,,,,,,,,,,,,,
傳真,2983762,,,,,,,,二期款,,80,%,,,,,,,,,,,,,,,,,,,,,,
地址,,,,,,,,,一期款,,,%,,,,,,,,,,,,,,,,,,,,,,
統編,,,,,,,,,尾款,,10,%,,,,,,,,,,,,,,,,,,,,,,
備註,,,,,,,,,合計,,,%,,,,,,,,,已收款合計,,,,,,,,,,,,,
負責人：,,,,,,,,,,,經理：,,,,,,,,,,,,接洽：,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
