decision_id,source_root_id,project_id,family_id,relative_path,file_name,file_id,sheet_id,file_sha256,file_size,workbook_format,worksheet_name,worksheet_visibility,worksheet_fingerprint,workbook_sheet_count,detected_project_identifiers,detected_customer_identifiers,detected_document_role,parser_name,parser_version,parse_status,formula_dependency_status,external_link_status,named_range_status,revision_status,duplicate_or_supersession,proposed_decision,final_decision,reason_codes,evidence_references,policy_version,reviewer_or_approver,decision_timestamp,approval_manifest_hash,sanitized_artifact_hash
SGD-CA88D60B1F37A6,SRC-ALL-PROJECTS,1120308,濬創,112年度工作\112年度工作\1120308濬創-馬稠後儀表箱\馬稠後園區流量計儀表箱材料清單.xls,馬稠後園區流量計儀表箱材料清單.xls,SRC-ALL-PROJECTS-FILE-0EA765278F76,SRC-ALL-PROJECTS-FILE-0EA765278F76-XLS-SHEET-001,94B3CE021ED4CEB10AE844ED139670B664AC387719732335B50262E49D12BF58,34304,xls,Sheet1,visible,E13A396F1976CDE31016A49ADF7359757ED7CCB92143B0B88B4EE20507FC78A8,3,1120308,濬創,allowed_material_list_workbook,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-0EA765278F76|SRC-ALL-PROJECTS-FILE-0EA765278F76-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,
SGD-D7E4CB50FC86D8,SRC-ALL-PROJECTS,1120308,濬創,112年度工作\112年度工作\1120308濬創-馬稠後儀表箱\馬稠後園區流量計儀表箱材料清單.xls,馬稠後園區流量計儀表箱材料清單.xls,SRC-ALL-PROJECTS-FILE-0EA765278F76,SRC-ALL-PROJECTS-FILE-0EA765278F76-XLS-SHEET-002,94B3CE021ED4CEB10AE844ED139670B664AC387719732335B50262E49D12BF58,34304,xls,Sheet2,visible,2327F3E6ECEE912E215AF094F55DE408AB2C6FEEB3ABDC7FD50B51592DA9CE91,3,1120308,濬創,allowed_material_list_workbook,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-0EA765278F76|SRC-ALL-PROJECTS-FILE-0EA765278F76-XLS-SHEET-002,source_guard_policy_v2_autonomous_eval,,,,
SGD-DD939C5DD12525,SRC-ALL-PROJECTS,1120308,濬創,112年度工作\112年度工作\1120308濬創-馬稠後儀表箱\馬稠後園區流量計儀表箱材料清單.xls,馬稠後園區流量計儀表箱材料清單.xls,SRC-ALL-PROJECTS-FILE-0EA765278F76,SRC-ALL-PROJECTS-FILE-0EA765278F76-XLS-SHEET-003,94B3CE021ED4CEB10AE844ED139670B664AC387719732335B50262E49D12BF58,34304,xls,Sheet3,visible,54A7F3467D202254816CDDA76C992CF40888AD969355429892E7625654B0F933,3,1120308,濬創,allowed_material_list_workbook,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-0EA765278F76|SRC-ALL-PROJECTS-FILE-0EA765278F76-XLS-SHEET-003,source_guard_policy_v2_autonomous_eval,,,,
SGD-8A374C171653AE,SRC-ALL-PROJECTS,1120308,濬創,112年度工作\112年度工作\1120308濬創-馬稠後儀表箱\馬稠後園區流量計儀表箱訂單成本分析.xls,馬稠後園區流量計儀表箱訂單成本分析.xls,SRC-ALL-PROJECTS-FILE-1C2F5437E0C1,SRC-ALL-PROJECTS-FILE-1C2F5437E0C1-XLS-SHEET-001,92227FFF54D719423DC1B072450AB76CCBA77EB5C7BF1C19C566C21C0E831512,34304,xls,Sheet1,visible,2FF6033C864935D926F6A37C0E0487E6748EAA32C13E4AA5752ABF5A4D7565C7,3,1120308,濬創,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-1C2F5437E0C1|SRC-ALL-PROJECTS-FILE-1C2F5437E0C1-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,
SGD-C8CEFF446F9B93,SRC-ALL-PROJECTS,1120308,濬創,112年度工作\112年度工作\1120308濬創-馬稠後儀表箱\馬稠後園區流量計儀表箱訂單成本分析.xls,馬稠後園區流量計儀表箱訂單成本分析.xls,SRC-ALL-PROJECTS-FILE-1C2F5437E0C1,SRC-ALL-PROJECTS-FILE-1C2F5437E0C1-XLS-SHEET-002,92227FFF54D719423DC1B072450AB76CCBA77EB5C7BF1C19C566C21C0E831512,34304,xls,Sheet2,visible,2327F3E6ECEE912E215AF094F55DE408AB2C6FEEB3ABDC7FD50B51592DA9CE91,3,1120308,濬創,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-1C2F5437E0C1|SRC-ALL-PROJECTS-FILE-1C2F5437E0C1-XLS-SHEET-002,source_guard_policy_v2_autonomous_eval,,,,
SGD-7EC48107D8302C,SRC-ALL-PROJECTS,1120308,濬創,112年度工作\112年度工作\1120308濬創-馬稠後儀表箱\馬稠後園區流量計儀表箱訂單成本分析.xls,馬稠後園區流量計儀表箱訂單成本分析.xls,SRC-ALL-PROJECTS-FILE-1C2F5437E0C1,SRC-ALL-PROJECTS-FILE-1C2F5437E0C1-XLS-SHEET-003,92227FFF54D719423DC1B072450AB76CCBA77EB5C7BF1C19C566C21C0E831512,34304,xls,Sheet3,visible,54A7F3467D202254816CDDA76C992CF40888AD969355429892E7625654B0F933,3,1120308,濬創,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-1C2F5437E0C1|SRC-ALL-PROJECTS-FILE-1C2F5437E0C1-XLS-SHEET-003,source_guard_policy_v2_autonomous_eval,,,,
SGD-86501B882E1B20,SRC-ALL-PROJECTS,1120308,濬創,112年度工作\112年度工作\1120308濬創-馬稠後儀表箱\工作記錄單濬創馬稠後流量儀表箱.xls,工作記錄單濬創馬稠後流量儀表箱.xls,SRC-ALL-PROJECTS-FILE-290645951594,SRC-ALL-PROJECTS-FILE-290645951594-XLS-SHEET-001,A86BA739C217BC143FB0E23D50D9B4D8657318C6894233D1878098AC06ADDF49,160768,xls,0413,visible,44B250AE62DD3B0BC927C3C0EBF31D46567F1342287E2EFDFBA771BAAA7F9D65,6,1120308,濬創,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-290645951594|SRC-ALL-PROJECTS-FILE-290645951594-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,
SGD-2D638AE0E5D252,SRC-ALL-PROJECTS,1120308,濬創,112年度工作\112年度工作\1120308濬創-馬稠後儀表箱\工作記錄單濬創馬稠後流量儀表箱.xls,工作記錄單濬創馬稠後流量儀表箱.xls,SRC-ALL-PROJECTS-FILE-290645951594,SRC-ALL-PROJECTS-FILE-290645951594-XLS-SHEET-002,A86BA739C217BC143FB0E23D50D9B4D8657318C6894233D1878098AC06ADDF49,160768,xls,0415,visible,80F99AC9C6518B1C241192861715CA6A227CACBF8E8B08CB512EBB3C660380EC,6,1120308,濬創,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-290645951594|SRC-ALL-PROJECTS-FILE-290645951594-XLS-SHEET-002,source_guard_policy_v2_autonomous_eval,,,,
SGD-4F75CA426F6686,SRC-ALL-PROJECTS,1120308,濬創,112年度工作\112年度工作\1120308濬創-馬稠後儀表箱\工作記錄單濬創馬稠後流量儀表箱.xls,工作記錄單濬創馬稠後流量儀表箱.xls,SRC-ALL-PROJECTS-FILE-290645951594,SRC-ALL-PROJECTS-FILE-290645951594-XLS-SHEET-003,A86BA739C217BC143FB0E23D50D9B4D8657318C6894233D1878098AC06ADDF49,160768,xls,空白,visible,B5AD89DF08DECDCE5F994AD3DA7C3BBEA1E45E17C3F9FE8E167667935B3A6262,6,1120308,濬創,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-290645951594|SRC-ALL-PROJECTS-FILE-290645951594-XLS-SHEET-003,source_guard_policy_v2_autonomous_eval,,,,
SGD-9DB5DDB18AB218,SRC-ALL-PROJECTS,1120308,濬創,112年度工作\112年度工作\1120308濬創-馬稠後儀表箱\工作記錄單濬創馬稠後流量儀表箱.xls,工作記錄單濬創馬稠後流量儀表箱.xls,SRC-ALL-PROJECTS-FILE-290645951594,SRC-ALL-PROJECTS-FILE-290645951594-XLS-SHEET-004,A86BA739C217BC143FB0E23D50D9B4D8657318C6894233D1878098AC06ADDF49,160768,xls,05,visible,C486E895C071C0C972EC1931CBA0899016DCFC94173F74D32DAB9D6E9DFCD142,6,1120308,濬創,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-290645951594|SRC-ALL-PROJECTS-FILE-290645951594-XLS-SHEET-004,source_guard_policy_v2_autonomous_eval,,,,
