台灣自來水公司,,,,,,
臺中鐵路高架化騰空廊道下埋設管線工程管(九) BT10040113,,,,,,
,,,,,,
新設1500電動碟閥_機電增加費用,,,,,,
工程名稱,臺中鐵路高架化騰空廊道下埋設管線工程管(九),,,會計科目,,
施工地點,臺中市東區,,,工程編號,BT-10-0401-13,
項 次,項  目  及  說  明,單 位,數 量,單 價,複 價,編碼(備註)
<2>,機電設備,,  ,  ,  ,
[1],PN2 PANEL,,  ,  ,  ,
1,盤體1000(W)×2270(H)×800(D)mm SUS 304屋外型,座, 1.00 ," 98,000.00 "," 98,000.00 ",詳規範及圖
2,產品，低壓配電盤，電表箱(屋外型)SUS304，厚度2.0mm以上,只, 1.00 ," 19,000.00 "," 19,000.00 ",#詳圖
3,KS 3P 100A 600V,只, 1.00 ," 1,000.00 "," 1,000.00 ",
4,"產品，低壓配電盤，保險絲，D-FUSE 2,3,4,5,10A (W/BASE)",只, 9.00 , 150.00 ," 1,350.00 ",#
5,產品，低壓配電盤，電壓錶，電壓切換開關(VS),只, 1.00 , 500.00 , 500.00 ,
6,產品，低壓配電盤，電壓錶(0~300V),只, 1.00 ," 1,200.00 "," 1,200.00 ",
7,產品，低壓配電盤，比流器，50/5A,只, 2.00 ," 1,900.00 "," 3,800.00 ",
8,產品，電力監視及控制設備，多功能集合式電表，數位式,個, 1.00 ,, 不含估價 ,
9,電磁開關1HP級，附TH-RY,只, 4.00 ," 1,200.00 "," 4,800.00 ",#
10,產品，低壓變壓器，(單相，220V-110V)，3.0kVA,只, 1.00 ," 7,900.00 "," 7,900.00 ",#
11,產品，低壓配電盤，控制開關，浮球開關，液位控制器(61F-G)含二浮球開關,組, 1.00 ," 1,900.00 "," 1,900.00 ",
12,產品，低壓突波抑制裝置，單相二線，110V,組, 1.00 ,, 不含估價 ,詳規範及圖
13,產品，低壓突波抑制裝置，三相三線，220V,只, 3.00 ,, 不含估價 ,"電源用突波消除器(由3只組成),詳規範及圖"
14,CS 30∮ ,只, 5.00 , 350.00 ," 1,750.00 ",
15,PBL 30∮,只, 7.00 , 520.00 ," 3,640.00 ",
16,PL 30∮,只, 3.00 , 350.00 ," 1,050.00 ",
17,產品，無熔線斷路器，額定啟斷容量AC 15KA，3P，額定電流 50A，額定電壓AC 220V，50AF,只, 1.00 ," 1,900.00 "," 1,900.00 ",
18,產品，漏電斷路器，額定啟斷容量AC 15KA，3P，額定電流 15A，額定靈敏度電流30mA/0.1sec，50AF，220V,只, 2.00 ," 3,000.00 "," 6,000.00 ",
19,產品，漏電斷路器，額定啟斷容量AC 15KA，3P，額定電流 30A，額定靈敏度電流30mA/0.1sec，50AF，220V,只, 1.00 ," 3,000.00 "," 3,000.00 ",
20,產品，無熔線斷路器，額定啟斷容量AC 15KA，2P，額定電流 15A，額定電壓AC 220V，50AF,只, 2.00 ," 1,500.00 "," 3,000.00 ",
21,產品，無熔線斷路器，額定啟斷容量AC 15KA，3P，額定電流 20A，額定電壓AC 220V，50AF,只, 1.00 ," 1,900.00 "," 1,900.00 ",
22,產品，無熔線斷路器，額定啟斷容量AC 15KA，2P，額定電流 20A，額定電壓AC 220V，50AF,只, 1.00 ," 1,500.00 "," 1,500.00 ",
23,產品，無熔線斷路器，額定啟斷容量AC 15KA，2P，額定電流 30A，額定電壓AC 110V，50AF,只, 1.00 ," 1,500.00 "," 1,500.00 ",
24,產品，無熔線斷路器，額定啟斷容量AC 15KA，2P，額定電流 15A，額定電壓AC 110V，50AF,只, 4.00 ," 1,500.00 "," 6,000.00 ",
25,產品，電力監視及控制設備，屋內型溫度偵測器，溫控開關,只, 1.00 , 500.00 , 500.00 ,
26,產品，電力監視及控制設備，屋內型濕度偵測器，濕控開關(含加熱器),只, 1.00 ," 2,900.00 "," 2,900.00 ",
27,"產品，吸排風扇8""",只, 2.00 ," 1,300.00 "," 2,600.00 ",#
28,產品，低壓配電盤，盤內照明及微動開關，日光燈(含極限開關),組, 2.00 ," 1,200.00 "," 2,400.00 ",
29,PN2 另件另料,式, 1.00 ," 7,500.00 "," 7,500.00 ",
[2],儀表及監控設備,,  ,,  ,
2,產品，中央監視主控制設備，不斷電系統，ON LINE，1kVA,台, 1.00 ,, 不含估價 ,
4,產品，電力監視及控制設備，現場數位控制器，PLC,套, 1.00 ,, 不含估價 ,詳規範
[3],另星及其他,,  ,,  ,
1,產品，電動抽水泵，沉水式污水電動抽水機(1HP),套, 2.00 ,, 不含估價 ,詳圖
2,PN2 CASE PC BASE,座, 1.00 ,, 不含估價 ,#詳圖
3,接地工程,處, 1.00 ,, 不含估價 ,#
[4],配管及配線,,  ,,  ,
1,盤內配線，配電盤、開關箱、監控盤及儀表盤配線,座, 1.00 ," 5,000.00 "," 5,000.00 ",詳圖及規範
[5],工資,,  ,,  ,
1,配電盤、開關箱、監控盤及儀表盤原廠組立工資,只, 1.00 ," 45,000.00 "," 45,000.00 ",#
2,配電盤、開關箱、監控盤及儀表盤現場安裝工資,只, 1.00 ,, 不含估價 ,#
,運費卡車可達地面不含現場搬運定位,式, 1.00 ," 17,000.00 "," 17,000.00 ",
,圖面設計及管理費,式, 1.00 ," 12,410.00 "," 12,410.00 ",
,,,, 小計 ," 266,000.00 ",未稅
,順大電機賴明春112/3/7,,, 承製價 ," 250,000.00 ",未稅
,,,,,,
,,,,,,
