decision_id,source_root_id,project_id,family_id,relative_path,file_name,file_id,sheet_id,file_sha256,file_size,workbook_format,worksheet_name,worksheet_visibility,worksheet_fingerprint,workbook_sheet_count,detected_project_identifiers,detected_customer_identifiers,detected_document_role,parser_name,parser_version,parse_status,formula_dependency_status,external_link_status,named_range_status,revision_status,duplicate_or_supersession,proposed_decision,final_decision,reason_codes,evidence_references,policy_version,reviewer_or_approver,decision_timestamp,approval_manifest_hash,sanitized_artifact_hash,sanitized_csv_path,sanitized_csv_sha256,non_empty_rows
SGD-1734832793CEFC,SRC-ALL-PROJECTS,1110701,國倫高鐵,111年度工作\111年度工作\111年度訂單(已完成)\1110701國倫高鐵台南車站清水池改善\國倫水電高鐵台南車站配水池改善生產能力分表.xls,國倫水電高鐵台南車站配水池改善生產能力分表.xls,SRC-ALL-PROJECTS-FILE-1805B1422618,SRC-ALL-PROJECTS-FILE-1805B1422618-XLS-SHEET-001,CF1FCD73F67F8476708F741D337AF28555486F07988974249F8F186C34B7CDB4,90112,xls,分析表,visible,D362E8C74B47A96272240F3FDDB415A6E40E4863E61E4E15523E559F2203ED09,3,1110701,,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-1805B1422618|SRC-ALL-PROJECTS-FILE-1805B1422618-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,,manifests\baseline-024\source_candidates\batch-003\legacy_xls\1110701\legacy_xls_parse\1110701\SRC-ALL-PROJECTS-FILE-1805B1422618\001_分析表.csv,998CCC28707D691BCEB834D8C41801D8BCEE228C925EEC2EC9D1C7682CC21060,13
SGD-9F87F64D647325,SRC-ALL-PROJECTS,1110701,國倫高鐵,111年度工作\111年度工作\111年度訂單(已完成)\1110701國倫高鐵台南車站清水池改善\國倫水電高鐵台南車站配水池改善生產能力分表.xls,國倫水電高鐵台南車站配水池改善生產能力分表.xls,SRC-ALL-PROJECTS-FILE-1805B1422618,SRC-ALL-PROJECTS-FILE-1805B1422618-XLS-SHEET-002,CF1FCD73F67F8476708F741D337AF28555486F07988974249F8F186C34B7CDB4,90112,xls,會議審查,visible,D71887E3DEC9BCA4F985796C64CA935621FBCBF7949AE3757C7E8B7F3A242E08,3,1110701,,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-1805B1422618|SRC-ALL-PROJECTS-FILE-1805B1422618-XLS-SHEET-002,source_guard_policy_v2_autonomous_eval,,,,,manifests\baseline-024\source_candidates\batch-003\legacy_xls\1110701\legacy_xls_parse\1110701\SRC-ALL-PROJECTS-FILE-1805B1422618\002_會議審查.csv,986E47459BA7EF38F46F08D07CD9E0269274B83420D724482F2B0C672E84FCAE,36
SGD-3A150930132FDA,SRC-ALL-PROJECTS,1110701,國倫高鐵,111年度工作\111年度工作\111年度訂單(已完成)\1110701國倫高鐵台南車站清水池改善\國倫水電高鐵台南車站配水池改善生產能力分表.xls,國倫水電高鐵台南車站配水池改善生產能力分表.xls,SRC-ALL-PROJECTS-FILE-1805B1422618,SRC-ALL-PROJECTS-FILE-1805B1422618-XLS-SHEET-003,CF1FCD73F67F8476708F741D337AF28555486F07988974249F8F186C34B7CDB4,90112,xls,Sheet3,visible,2431A7B5E34F6CDDF636CB6420EDAF96BB8F1E51757547FA6AD1B769DF2C82B2,3,1110701,,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-1805B1422618|SRC-ALL-PROJECTS-FILE-1805B1422618-XLS-SHEET-003,source_guard_policy_v2_autonomous_eval,,,,,manifests\baseline-024\source_candidates\batch-003\legacy_xls\1110701\legacy_xls_parse\1110701\SRC-ALL-PROJECTS-FILE-1805B1422618\003_Sheet3.csv,F01A374E9C81E3DB89B3A42940C4D6A5447684986A1296E42BF13F196EED6295,0
SGD-EFF26501E7ED41,SRC-ALL-PROJECTS,1110701,國倫高鐵,111年度工作\111年度工作\111年度訂單(已完成)\1110701國倫高鐵台南車站清水池改善\國倫高鐵台南車站配水池改善成本分析分項.xls,國倫高鐵台南車站配水池改善成本分析分項.xls,SRC-ALL-PROJECTS-FILE-50EDCEA3A3FB,SRC-ALL-PROJECTS-FILE-50EDCEA3A3FB-XLS-SHEET-001,1ECAEA6D400D7E7E65226FCA2EB457CF1F117C66928F91319646ADE86D54CB2F,31232,xls,Sheet1,visible,23C2BE09091145DBA7D58EFA8104DDD311915EC9B255BB7A9924B9504CC388BB,3,1110701,,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-50EDCEA3A3FB|SRC-ALL-PROJECTS-FILE-50EDCEA3A3FB-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,,manifests\baseline-024\source_candidates\batch-003\legacy_xls\1110701\legacy_xls_parse\1110701\SRC-ALL-PROJECTS-FILE-50EDCEA3A3FB\001_Sheet1.csv,79F1214B6F3ADCA91B68D6AD9E02029D763EB7CE3EDAA7F10D74D5DCCAA2E32A,28
SGD-13E4A2DE95F0F7,SRC-ALL-PROJECTS,1110701,國倫高鐵,111年度工作\111年度工作\111年度訂單(已完成)\1110701國倫高鐵台南車站清水池改善\國倫高鐵台南車站配水池改善成本分析分項.xls,國倫高鐵台南車站配水池改善成本分析分項.xls,SRC-ALL-PROJECTS-FILE-50EDCEA3A3FB,SRC-ALL-PROJECTS-FILE-50EDCEA3A3FB-XLS-SHEET-002,1ECAEA6D400D7E7E65226FCA2EB457CF1F117C66928F91319646ADE86D54CB2F,31232,xls,Sheet2,visible,2327F3E6ECEE912E215AF094F55DE408AB2C6FEEB3ABDC7FD50B51592DA9CE91,3,1110701,,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-50EDCEA3A3FB|SRC-ALL-PROJECTS-FILE-50EDCEA3A3FB-XLS-SHEET-002,source_guard_policy_v2_autonomous_eval,,,,,manifests\baseline-024\source_candidates\batch-003\legacy_xls\1110701\legacy_xls_parse\1110701\SRC-ALL-PROJECTS-FILE-50EDCEA3A3FB\002_Sheet2.csv,F01A374E9C81E3DB89B3A42940C4D6A5447684986A1296E42BF13F196EED6295,0
SGD-8EB47DCA9D648E,SRC-ALL-PROJECTS,1110701,國倫高鐵,111年度工作\111年度工作\111年度訂單(已完成)\1110701國倫高鐵台南車站清水池改善\國倫高鐵台南車站配水池改善成本分析分項.xls,國倫高鐵台南車站配水池改善成本分析分項.xls,SRC-ALL-PROJECTS-FILE-50EDCEA3A3FB,SRC-ALL-PROJECTS-FILE-50EDCEA3A3FB-XLS-SHEET-003,1ECAEA6D400D7E7E65226FCA2EB457CF1F117C66928F91319646ADE86D54CB2F,31232,xls,Sheet3,visible,54A7F3467D202254816CDDA76C992CF40888AD969355429892E7625654B0F933,3,1110701,,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-50EDCEA3A3FB|SRC-ALL-PROJECTS-FILE-50EDCEA3A3FB-XLS-SHEET-003,source_guard_policy_v2_autonomous_eval,,,,,manifests\baseline-024\source_candidates\batch-003\legacy_xls\1110701\legacy_xls_parse\1110701\SRC-ALL-PROJECTS-FILE-50EDCEA3A3FB\003_Sheet3.csv,F01A374E9C81E3DB89B3A42940C4D6A5447684986A1296E42BF13F196EED6295,0
SGD-1F4DD9AD1DCF5E,SRC-ALL-PROJECTS,1110701,國倫高鐵,111年度工作\111年度工作\111年度訂單(已完成)\1110701國倫高鐵台南車站清水池改善\台南高鐵配水池改善材料清單.xls,台南高鐵配水池改善材料清單.xls,SRC-ALL-PROJECTS-FILE-518581B2789A,SRC-ALL-PROJECTS-FILE-518581B2789A-XLS-SHEET-001,81869648CCA051FF22028B16EC94457F03E7E115E8A238CED542FD70CDE22C60,62464,xls,標單總表,visible,69B419A89966BC4055506AE1065875A5A81B43AEA8EC74AB038F2025764DD94E,3,1110701,,allowed_material_list_workbook,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-518581B2789A|SRC-ALL-PROJECTS-FILE-518581B2789A-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,,manifests\baseline-024\source_candidates\batch-003\legacy_xls\1110701\legacy_xls_parse\1110701\SRC-ALL-PROJECTS-FILE-518581B2789A\001_標單總表.csv,620B6AC32C1FCB722329F4E9CD587A4714A041F6A69002FBFDF5BDD6BC662498,12
SGD-C5997B5BC85C01,SRC-ALL-PROJECTS,1110701,國倫高鐵,111年度工作\111年度工作\111年度訂單(已完成)\1110701國倫高鐵台南車站清水池改善\台南高鐵配水池改善材料清單.xls,台南高鐵配水池改善材料清單.xls,SRC-ALL-PROJECTS-FILE-518581B2789A,SRC-ALL-PROJECTS-FILE-518581B2789A-XLS-SHEET-002,81869648CCA051FF22028B16EC94457F03E7E115E8A238CED542FD70CDE22C60,62464,xls,標單詳細表,visible,327B19A81D88F9D13A45305E7AC29059CB7A09DF5C32EC891DE3BAECEE2546EC,3,1110701,,allowed_material_list_workbook,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-518581B2789A|SRC-ALL-PROJECTS-FILE-518581B2789A-XLS-SHEET-002,source_guard_policy_v2_autonomous_eval,,,,,manifests\baseline-024\source_candidates\batch-003\legacy_xls\1110701\legacy_xls_parse\1110701\SRC-ALL-PROJECTS-FILE-518581B2789A\002_標單詳細表.csv,905604091B688BA581C77E3CFE7BD5591EC96AC3E9CCC8D8FE411CB1BFCCAF57,72
SGD-4455FEFE0CBE66,SRC-ALL-PROJECTS,1110701,國倫高鐵,111年度工作\111年度工作\111年度訂單(已完成)\1110701國倫高鐵台南車站清水池改善\台南高鐵配水池改善材料清單.xls,台南高鐵配水池改善材料清單.xls,SRC-ALL-PROJECTS-FILE-518581B2789A,SRC-ALL-PROJECTS-FILE-518581B2789A-XLS-SHEET-003,81869648CCA051FF22028B16EC94457F03E7E115E8A238CED542FD70CDE22C60,62464,xls,標單單價分析表,visible,45967A551C312E7BAA1D5F3BC6AFFB4BE0FBC640C1D7FE8F1844118516048EA2,3,1110701,,allowed_material_list_workbook,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-518581B2789A|SRC-ALL-PROJECTS-FILE-518581B2789A-XLS-SHEET-003,source_guard_policy_v2_autonomous_eval,,,,,manifests\baseline-024\source_candidates\batch-003\legacy_xls\1110701\legacy_xls_parse\1110701\SRC-ALL-PROJECTS-FILE-518581B2789A\003_標單單價分析表.csv,B156AE11E75D331B22CBD3A2EAD4F715E9F8DBA778E92F8C94EB5B880D018AAE,49
SGD-51E910E0841C3A,SRC-ALL-PROJECTS,1110701,國倫高鐵,111年度工作\111年度工作\111年度訂單(已完成)\1110701國倫高鐵台南車站清水池改善\工作記錄單國倫高鐵台南車站配水池改善ls.xls,工作記錄單國倫高鐵台南車站配水池改善ls.xls,SRC-ALL-PROJECTS-FILE-5B4CC789877D,SRC-ALL-PROJECTS-FILE-5B4CC789877D-XLS-SHEET-001,20373D3EBB7A58462AC4EAC4623F60A87349F6F2D4A08203A1095349DC1C6010,155136,xls,0413,visible,44B250AE62DD3B0BC927C3C0EBF31D46567F1342287E2EFDFBA771BAAA7F9D65,6,1110701,,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-5B4CC789877D|SRC-ALL-PROJECTS-FILE-5B4CC789877D-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,,manifests\baseline-024\source_candidates\batch-003\legacy_xls\1110701\legacy_xls_parse\1110701\SRC-ALL-PROJECTS-FILE-5B4CC789877D\001_0413.csv,AD0F33A7A0D4F68F87DCB8B78EF61DB3BC12674CC10FF4BB5F19DDA6868DAEA0,35
SGD-A9E24B9687016F,SRC-ALL-PROJECTS,1110701,國倫高鐵,111年度工作\111年度工作\111年度訂單(已完成)\1110701國倫高鐵台南車站清水池改善\工作記錄單國倫高鐵台南車站配水池改善ls.xls,工作記錄單國倫高鐵台南車站配水池改善ls.xls,SRC-ALL-PROJECTS-FILE-5B4CC789877D,SRC-ALL-PROJECTS-FILE-5B4CC789877D-XLS-SHEET-002,20373D3EBB7A58462AC4EAC4623F60A87349F6F2D4A08203A1095349DC1C6010,155136,xls,0415,visible,80F99AC9C6518B1C241192861715CA6A227CACBF8E8B08CB512EBB3C660380EC,6,1110701,,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-5B4CC789877D|SRC-ALL-PROJECTS-FILE-5B4CC789877D-XLS-SHEET-002,source_guard_policy_v2_autonomous_eval,,,,,manifests\baseline-024\source_candidates\batch-003\legacy_xls\1110701\legacy_xls_parse\1110701\SRC-ALL-PROJECTS-FILE-5B4CC789877D\002_0415.csv,85443C0FDC9678CCFB657AECCCB90A88F859E5FA16AB8B2EA7210B1053FE7B9A,35
SGD-6597A061D0E497,SRC-ALL-PROJECTS,1110701,國倫高鐵,111年度工作\111年度工作\111年度訂單(已完成)\1110701國倫高鐵台南車站清水池改善\工作記錄單國倫高鐵台南車站配水池改善ls.xls,工作記錄單國倫高鐵台南車站配水池改善ls.xls,SRC-ALL-PROJECTS-FILE-5B4CC789877D,SRC-ALL-PROJECTS-FILE-5B4CC789877D-XLS-SHEET-003,20373D3EBB7A58462AC4EAC4623F60A87349F6F2D4A08203A1095349DC1C6010,155136,xls,空白,visible,B5AD89DF08DECDCE5F994AD3DA7C3BBEA1E45E17C3F9FE8E167667935B3A6262,6,1110701,,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-5B4CC789877D|SRC-ALL-PROJECTS-FILE-5B4CC789877D-XLS-SHEET-003,source_guard_policy_v2_autonomous_eval,,,,,manifests\baseline-024\source_candidates\batch-003\legacy_xls\1110701\legacy_xls_parse\1110701\SRC-ALL-PROJECTS-FILE-5B4CC789877D\003_空白.csv,1D9CD85BBEF8C721BBFD1971DE053612BFD9145A72AF191B7F8FFF5830E74A9D,35
