順大電機股份有限公司,,,,,,,,,,,,,
合 約 審 查 會 議 記 錄 表,,,,,,,,,,,,,
訂購客戶：                   ,,飛達機電工程有限公司       ,,,工程名稱：,,：鳥嘴潭人工湖下游水管E-2,,,工程編號：,,,
1.合約內容明細：,,,,,,,,,,,,,
項次,盤名,,,規格,,數量,項次,盤名,,,規格,,數量
1,MP盤,,,1200W*2350H*2000D,,1只,11,,,,,,
2,P1盤,,,1200W*2350H*2000D,,1只,12,,,,,,
3,P2盤,,,1200W*2350H*2000D,,1只,13,,,,,,
4,P3盤,,,1200W*2350H*2000D,,1只,14,,,,,,
5,P4盤,,,1200W*2350H*2000D,,1只,15,,,,,,
6,MPA盤,,,1200W*2350H*2000D,,1只,16,,,,,,
7,CP01盤,,,1200W*2350H*2000D,,1只,17,,,,,,
8,JP1~JP4箱,,,900W*1600H*450D,,4只,18,,,,,,
9,壓力傳訊箱,,,600W*1400H*500D,,1只,19,,,,,,
10,,,,,,,20,,,,,,
,,,,,,,,,,,,,
2.報價金額新台幣：,,,壹佰貳拾貳萬陸仟肆佰,,,,,,,,,元整(含稅),
3.交貨期限：,,,民國 ,2022/1/28,,,,前 交貨完畢。  ,,,,,
4.交貨方式：,,,分批交貨  ,,一次交貨完畢     ,,,可        否,,原因：,,,
5.分批交貨時間：,,,第一批,,,第二批,,,第三批,,,,
6.交貨地點：,,,高雄市,,卡車可達地面，是否需現場搬運？,,,,是        否,,組立？,是        否,
7.客戶提供之圖樣、規格、規範、是否有不合理、矛盾、錯誤？,,,,,,,,,是        否,,,,
8.設計、生產、製造是否可達成客戶要求？,,,,,,可        否,,原因：,,,,,
9.試驗、設備是否可達成客戶規範要求？,,,,,,可        否,,原因：,,,,,
10.是否需送審圖？,,,是        否,,是否需操作維護說明書？,,,,是        否,,,,
11.是否需製作竣工圖？,,,是        否,,是否需出廠會驗？,,,是        否,, 其他要求：,,,
12.是否要求製作標準：CNS 13542或其它  ,,,,,,要     不要,,原因：,,,,,
13.是否要求試驗標準：CNS 13543,,,,,,要     不要,,原因：,,,,,
14.使用器材規格及供應時數確認 ,,,,,可        否,, 原因：,,,,,,
15.買賣雙方合約協議文件條件合理性確認 ,,,,,,可        否,, 原因：,,,,,
16.付款方式：,,分批交貨分批付款 ,,,依合約書或訂貨單規定 ,,,,         交貨完畢驗收合格一次付清        ,,,,
17.其它條件：,,,,,,,,,,,,,
18.合約審查小組簽章：,,,,,,,,,,,,,
,,,,,,,,,,,,,
業務部,,品保課,,設計課,,生管課,,電機課,,採購課,,總經理核示,
賴明春,,,,,,,,,,,,,
19.審查結果：,,接單   ,,再協商   ,,放棄    ,,原因：,,,,,
表單編號R:008,,,,,,,,,,,,,
