decision_id,source_root_id,project_id,family_id,relative_path,file_name,file_id,sheet_id,file_sha256,file_size,workbook_format,worksheet_name,worksheet_visibility,worksheet_fingerprint,workbook_sheet_count,detected_project_identifiers,detected_customer_identifiers,detected_document_role,parser_name,parser_version,parse_status,formula_dependency_status,external_link_status,named_range_status,revision_status,duplicate_or_supersession,proposed_decision,final_decision,reason_codes,evidence_references,policy_version,reviewer_or_approver,decision_timestamp,approval_manifest_hash,sanitized_artifact_hash
SGD-8C92221EFCE20F,SRC-ALL-PROJECTS,1110101,飛達鳥嘴潭下游送水管E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\飛達鳥嘴潭下游送水管E-2生產能力分析表.xls,飛達鳥嘴潭下游送水管E-2生產能力分析表.xls,SRC-ALL-PROJECTS-FILE-5EA283A2BFCE,SRC-ALL-PROJECTS-FILE-5EA283A2BFCE-XLS-SHEET-001,B7CE46826C08C12A84F8AE1308859F177A985D424E9558C12EF5B0FB1B0E6C27,90112,xls,分析表,visible,5AF30D861B03C57EE8D806531980C59A35AB818656F2E210C62FA0703157FA6A,3,1110101,飛達鳥嘴潭下游送水管E,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-5EA283A2BFCE|SRC-ALL-PROJECTS-FILE-5EA283A2BFCE-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,
SGD-28E166CB6C6B85,SRC-ALL-PROJECTS,1110101,飛達鳥嘴潭下游送水管E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\飛達鳥嘴潭下游送水管E-2生產能力分析表.xls,飛達鳥嘴潭下游送水管E-2生產能力分析表.xls,SRC-ALL-PROJECTS-FILE-5EA283A2BFCE,SRC-ALL-PROJECTS-FILE-5EA283A2BFCE-XLS-SHEET-002,B7CE46826C08C12A84F8AE1308859F177A985D424E9558C12EF5B0FB1B0E6C27,90112,xls,會議審查,visible,382FAB5C97CFD0A81F52B8375726CF32CECB0C495FBA1CA8E1EA1274F4AE248B,3,1110101,飛達鳥嘴潭下游送水管E,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-5EA283A2BFCE|SRC-ALL-PROJECTS-FILE-5EA283A2BFCE-XLS-SHEET-002,source_guard_policy_v2_autonomous_eval,,,,
SGD-1D8B19ED66CC1A,SRC-ALL-PROJECTS,1110101,飛達鳥嘴潭下游送水管E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\飛達鳥嘴潭下游送水管E-2生產能力分析表.xls,飛達鳥嘴潭下游送水管E-2生產能力分析表.xls,SRC-ALL-PROJECTS-FILE-5EA283A2BFCE,SRC-ALL-PROJECTS-FILE-5EA283A2BFCE-XLS-SHEET-003,B7CE46826C08C12A84F8AE1308859F177A985D424E9558C12EF5B0FB1B0E6C27,90112,xls,Sheet3,visible,2431A7B5E34F6CDDF636CB6420EDAF96BB8F1E51757547FA6AD1B769DF2C82B2,3,1110101,飛達鳥嘴潭下游送水管E,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-5EA283A2BFCE|SRC-ALL-PROJECTS-FILE-5EA283A2BFCE-XLS-SHEET-003,source_guard_policy_v2_autonomous_eval,,,,
SGD-419C4426214114,SRC-ALL-PROJECTS,1110101,飛達鳥嘴潭下游送水管E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\飛達機電鳥嘴潭送水管E-2訂單成本分析.xls,飛達機電鳥嘴潭送水管E-2訂單成本分析.xls,SRC-ALL-PROJECTS-FILE-7D1ACA253B10,SRC-ALL-PROJECTS-FILE-7D1ACA253B10-XLS-SHEET-001,7B922D8C54B6CFE1B8B807DDB67F4688EF721F3D1E5D84A97A8791515D193075,58368,xls,Sheet2,visible,28E271B6FDCC69803E8A0570D1BAFA567707B17D76D24EC9C36FA59AA698DC1E,3,1110101,飛達鳥嘴潭下游送水管E,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-7D1ACA253B10|SRC-ALL-PROJECTS-FILE-7D1ACA253B10-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,
SGD-96F5B42AF2AC0D,SRC-ALL-PROJECTS,1110101,飛達鳥嘴潭下游送水管E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\飛達機電鳥嘴潭送水管E-2訂單成本分析.xls,飛達機電鳥嘴潭送水管E-2訂單成本分析.xls,SRC-ALL-PROJECTS-FILE-7D1ACA253B10,SRC-ALL-PROJECTS-FILE-7D1ACA253B10-XLS-SHEET-002,7B922D8C54B6CFE1B8B807DDB67F4688EF721F3D1E5D84A97A8791515D193075,58368,xls,Sheet3,visible,A3D531EC187F9EC71A69CF9EDD21BF1A102173997230A800123EE36AB0ABCD4F,3,1110101,飛達鳥嘴潭下游送水管E,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-7D1ACA253B10|SRC-ALL-PROJECTS-FILE-7D1ACA253B10-XLS-SHEET-002,source_guard_policy_v2_autonomous_eval,,,,
SGD-4D05D836BBA6D4,SRC-ALL-PROJECTS,1110101,飛達鳥嘴潭下游送水管E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\飛達機電鳥嘴潭送水管E-2訂單成本分析.xls,飛達機電鳥嘴潭送水管E-2訂單成本分析.xls,SRC-ALL-PROJECTS-FILE-7D1ACA253B10,SRC-ALL-PROJECTS-FILE-7D1ACA253B10-XLS-SHEET-003,7B922D8C54B6CFE1B8B807DDB67F4688EF721F3D1E5D84A97A8791515D193075,58368,xls,Sheet1,visible,B8A23A73CCB24A5DAFDC37CBD2323897CCBB08DFC775CA0640A44CA76BF77467,3,1110101,飛達鳥嘴潭下游送水管E,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-7D1ACA253B10|SRC-ALL-PROJECTS-FILE-7D1ACA253B10-XLS-SHEET-003,source_guard_policy_v2_autonomous_eval,,,,
SGD-8727198F7E1C7C,SRC-ALL-PROJECTS,1110101,飛達鳥嘴潭下游送水管E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\飛達鳥嘴潭下游送水管E-2生產合約審查表.xls,飛達鳥嘴潭下游送水管E-2生產合約審查表.xls,SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D,SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D-XLS-SHEET-001,CF908B7F395A04255133367E85553C12E8267EEC55B9FA01CA5778142EABA98E,90624,xls,分析表,visible,5AF30D861B03C57EE8D806531980C59A35AB818656F2E210C62FA0703157FA6A,3,1110101,飛達鳥嘴潭下游送水管E,allowed_contract_workbook,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D|SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,
SGD-248CBB8104BE7D,SRC-ALL-PROJECTS,1110101,飛達鳥嘴潭下游送水管E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\飛達鳥嘴潭下游送水管E-2生產合約審查表.xls,飛達鳥嘴潭下游送水管E-2生產合約審查表.xls,SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D,SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D-XLS-SHEET-002,CF908B7F395A04255133367E85553C12E8267EEC55B9FA01CA5778142EABA98E,90624,xls,會議審查,visible,D6A429FE56EA3653C479BF74B83573C0C363FB4744F30264DEE842EFE0829D70,3,1110101,飛達鳥嘴潭下游送水管E,allowed_contract_workbook,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D|SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D-XLS-SHEET-002,source_guard_policy_v2_autonomous_eval,,,,
SGD-D4BB340680DA1A,SRC-ALL-PROJECTS,1110101,飛達鳥嘴潭下游送水管E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\飛達鳥嘴潭下游送水管E-2生產合約審查表.xls,飛達鳥嘴潭下游送水管E-2生產合約審查表.xls,SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D,SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D-XLS-SHEET-003,CF908B7F395A04255133367E85553C12E8267EEC55B9FA01CA5778142EABA98E,90624,xls,Sheet3,visible,2431A7B5E34F6CDDF636CB6420EDAF96BB8F1E51757547FA6AD1B769DF2C82B2,3,1110101,飛達鳥嘴潭下游送水管E,allowed_contract_workbook,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D|SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D-XLS-SHEET-003,source_guard_policy_v2_autonomous_eval,,,,
SGD-7F60D05B70EA8B,SRC-ALL-PROJECTS,1110101,飛達鳥嘴潭下游送水管E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\工作記錄單飛達鳥嘴潭下游送水管E-2xls.xls,工作記錄單飛達鳥嘴潭下游送水管E-2xls.xls,SRC-ALL-PROJECTS-FILE-C7DCFF2BA19E,SRC-ALL-PROJECTS-FILE-C7DCFF2BA19E-XLS-SHEET-001,E45F0A02BDFDDEB92953F356A433FF6D4AD4C84BA722778ADCFE0845D50F1CF5,156160,xls,0413,visible,44B250AE62DD3B0BC927C3C0EBF31D46567F1342287E2EFDFBA771BAAA7F9D65,6,1110101,飛達鳥嘴潭下游送水管E,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-C7DCFF2BA19E|SRC-ALL-PROJECTS-FILE-C7DCFF2BA19E-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,
