project_id,normalized_project_id,source_root_relative_path,project_family,project_family_source,revision_family,duplicate_family,year_prefix,workbook_candidate_count,candidate_permitted_input_count,strict_permitted_input_count,target_reference_file_candidate_count,inventory_v1_has_all_three_completed_targets,onedrive_availability,current_cohort,development_eligibility,exclusion_reasons,previous_screening_status,previous_bundle_status,current_source_hash_status,generator_candidate_status
1110101,1110101,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2,飛達鳥嘴潭下游送水管E,frozen_cohort_manifest,REVFAM-111-E2A49671CF8F,DUPFAM-CCDCB9AFF1A1,111,5,5,2,3,True,AVAILABLE,ANCHOR_ALLOWED_EVAL,ALREADY_ALLOWED_EVAL,already verified ALLOWED_EVAL,ALLOWED_EVAL_ANCHOR,ACCEPTED_BUNDLE_CURRENT,HASH_RECORDED_ALL_PROJECT_FILES,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED
1110102,1110102,111年度工作\111年度工作\111年度訂單(已完成)\1110102聯電FAB 12A P6擴建工程氨氮廢水處理廠電氣工程,聯電FAB 12A P6擴建工程氨氮廢水處理廠電氣工程,derived_from_project_name,REVFAM-111-3B7E3B76EFA3,DUPFAM-0AE21D424B35,111,3,3,0,10,True,AVAILABLE,EXCLUDED_BY_PROTOCOL,EXCLUDED_BY_FROZEN_PROTOCOL,"original bundle-verification defect remains excluded unless corrected, regression tested, and independently audited",NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED
1110103,1110103,111年度工作\111年度工作\111年度訂單(已完成)\1110103國倫水電控制箱,國倫水電控制箱,derived_from_project_name,REVFAM-111-5DC12377B020,DUPFAM-F0F6BADEF2EB,111,3,3,1,3,True,AVAILABLE,PHASE_C_ACCEPTED_ALLOWED_EVAL,ALREADY_ALLOWED_EVAL,already verified ALLOWED_EVAL,PHASE_C_ACCEPTED,ACCEPTED_BUNDLE_CURRENT,HASH_RECORDED_ALL_PROJECT_FILES,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED
1110104,1110104,111年度工作\111年度工作\111年度訂單(已完成)\1110104飛達機電屏東縣林邊溪伏流水\1110104生管文件,飛達機電,frozen_cohort_manifest,REVFAM-111-B256E921467A,DUPFAM-62D042701119,111,6,6,3,3,True,AVAILABLE,ANCHOR_ALLOWED_EVAL,ALREADY_ALLOWED_EVAL,already verified ALLOWED_EVAL,ALLOWED_EVAL_ANCHOR,ACCEPTED_BUNDLE_CURRENT,HASH_RECORDED_ALL_PROJECT_FILES,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED
1110105,1110105,111年度工作\111年度工作\111年度訂單(已完成)\1110105宇博彰化番雅橋前操作箱,宇博彰化番雅橋前操作箱,derived_from_project_name,REVFAM-111-FEF6CD196B70,DUPFAM-57E9A9B0F0A3,111,2,2,1,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1110202,1110202,111年度工作\111年度工作\111年度訂單(已完成)\1110202宇博鹽埔及竹田淨水場,宇博鹽埔及竹田淨水場,derived_from_project_name,REVFAM-111-94667EA17918,DUPFAM-84BD7F2EBA00,111,7,7,3,2,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1110203,1110203,111年度工作\111年度工作\111年度訂單(已完成)\1110203宇博高雄廠大樹深井,宇博高雄廠大樹深井,derived_from_project_name,REVFAM-111-9EA34D6B6AE5,DUPFAM-EF00D915F280,111,7,7,3,3,True,AVAILABLE,PHASE_C_ACCEPTED_ALLOWED_EVAL,ALREADY_ALLOWED_EVAL,already verified ALLOWED_EVAL,PHASE_C_ACCEPTED,ACCEPTED_BUNDLE_CURRENT,HASH_RECORDED_ALL_PROJECT_FILES,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED
1110204,1110204,111年度工作\111年度工作\111年度訂單(已完成)\1110204宇博義竹所六區受支援水量計,宇博義竹,frozen_cohort_manifest,REVFAM-111-E213DB3CB4CD,DUPFAM-8391CC1A60D2,111,6,6,2,5,True,AVAILABLE,ANCHOR_ALLOWED_EVAL,ALREADY_ALLOWED_EVAL,already verified ALLOWED_EVAL,ALLOWED_EVAL_ANCHOR,ACCEPTED_BUNDLE_CURRENT,HASH_RECORDED_ALL_PROJECT_FILES,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED
1110205,1110205,111年度工作\111年度工作\111年度訂單(已完成)\1110205昕辰嘉義縣中埔鄉頂寮村橫坑供水,昕辰嘉義,frozen_cohort_manifest,REVFAM-111-170BC2D52B8F,DUPFAM-FA8AEA25BFA0,111,7,7,2,6,True,AVAILABLE,ANCHOR_ALLOWED_EVAL,ALREADY_ALLOWED_EVAL,already verified ALLOWED_EVAL,ALLOWED_EVAL_ANCHOR,ACCEPTED_BUNDLE_CURRENT,HASH_RECORDED_ALL_PROJECT_FILES,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED
1110206,1110206,111年度工作\111年度工作\111年度訂單(已完成)\1110206榮陳義竹所傳訊箱修改,榮陳義竹所傳訊箱修改,derived_from_project_name,REVFAM-111-F467CEEB080D,DUPFAM-0F86206282E1,111,0,0,0,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets|no potential permitted source workbook in current inventory,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1110301,1110301,111年度工作\111年度工作\111年度訂單(已完成)\1110301三裕正下營鐵道綠廊道\1110301生管文件,三裕正下營鐵道綠廊道,derived_from_project_name,REVFAM-111-DBF47F991557,DUPFAM-8B8CC16D3C44,111,1,1,1,3,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1110309,1110309,111年度工作\111年度工作\111年度訂單(已完成)\1110309西富-聯電用箱S3二次配,西富,file_index_customer,REVFAM-111-B2981FB54AD3,DUPFAM-7ED1F8DA0EE4,111,0,0,0,3,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets|no potential permitted source workbook in current inventory,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,NO_APPROVED_WORKSHEETS
1110402,1110402,111年度工作\111年度工作\111年度訂單(已完成)\1110402西富-工具箱S3二次配,西富,file_index_customer,REVFAM-111-FAAB829523C5,DUPFAM-D5D180B1E994,111,0,0,0,3,True,AVAILABLE,PREVIOUS_QUARANTINED_OR_NO_BUNDLE,PREVIOUS_QUARANTINE_EVIDENCE_REQUIRED,previous quarantine/no-bundle requires new deterministic resolving evidence,PHASE_C_SCREENED,QUARANTINED_OR_NO_BUNDLE,HASH_RECORDED_ALL_PROJECT_FILES,NO_APPROVED_WORKSHEETS
1110403,1110403,111年度工作\111年度工作\111年度訂單(已完成)\1110403臻輊營造-里佳分校附設幼兒園新建教室工程,臻輊營造,file_index_customer,REVFAM-111-E5049101123B,DUPFAM-E57A9AAE26D4,111,1,1,1,5,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1110404,1110404,111年度工作\111年度工作\111年度訂單(已完成)\1110404宇博實業-芬園利民橋,宇博實業,file_index_customer,REVFAM-111-FCC0B98A11DE,DUPFAM-321B906EA997,111,7,7,3,5,True,AVAILABLE,PREVIOUS_BUNDLE_REJECTED,PREVIOUS_REJECTION_RETRY_REQUIRED,previous bundle verification rejection requires accepted retry justification,PHASE_C_SCREENED,BUNDLE_VERIFICATION_REJECTED,HASH_RECORDED_ALL_PROJECT_FILES,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED
1110405,1110405,111年度工作\111年度工作\111年度訂單(已完成)\1110405國倫水電-古坑所梅山站支援竹崎所機電工程,國倫水電,frozen_cohort_manifest,REVFAM-111-F6F37BD08A53,DUPFAM-474F27EE1140,111,7,7,2,3,True,AVAILABLE,ANCHOR_ALLOWED_EVAL,ALREADY_ALLOWED_EVAL,already verified ALLOWED_EVAL,ALLOWED_EVAL_ANCHOR,ACCEPTED_BUNDLE_CURRENT,HASH_RECORDED_ALL_PROJECT_FILES,REFERENCE_COMPLETE_WORKSHEET_REVIEW_REQUIRED
1110406,1110406,111年度工作\111年度工作\111年度訂單(已完成)\1110406宇博二林芳苑8號井,宇博二林芳苑8號井,derived_from_project_name,REVFAM-111-E21FD6B994C8,DUPFAM-226654887842,111,1,1,0,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
