batch_id,project_id,status,target_types_present,pdfs_processed,pages_classified,image_only_or_no_target_text_pdfs,embedded_text_pdfs,combined_package_found,revision_notice_pages,electrical_pages_rejected,unclassified_pages,audit_status,renderer
batch-001,1120801,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,56,306,47,9,False,0,127,51,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-001,1120902,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,106,318,100,6,False,0,140,25,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-001,1121102,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,29,85,27,2,False,0,43,10,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-001,1121107,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,34,254,33,1,False,0,0,190,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-001,1130610,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,8,25,7,1,False,0,10,7,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-001,1141201,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,64,295,64,0,False,0,129,28,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-002,1110202,PARTIAL_REFERENCE_SET,PUNCH_DRAWING|SHEETMETAL_DRAWING,11,135,9,2,False,0,37,72,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-002,1110606,PARTIAL_REFERENCE_SET,PUNCH_DRAWING|SHEETMETAL_DRAWING,12,20,9,3,False,0,3,9,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-002,1120302,PARTIAL_REFERENCE_SET,PUNCH_DRAWING|SHEETMETAL_DRAWING,15,26,14,1,False,0,2,16,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-002,1120401,PARTIAL_REFERENCE_SET,PRODUCTION_DRAWING|SHEETMETAL_DRAWING,7,21,6,1,False,0,6,8,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-002,1121204,PARTIAL_REFERENCE_SET,PRODUCTION_DRAWING,1,1,1,0,False,0,0,0,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-003,1120706,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,20,121,19,1,False,0,36,44,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-003,1130104,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,8,46,7,1,False,0,14,20,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-003,1130901,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,6,13,5,1,False,0,4,1,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-003,1140201,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,20,76,15,5,False,0,26,7,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-003,1141106,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,18,65,17,1,False,0,23,10,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-003,1150104,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,26,101,25,1,False,0,45,3,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-004,1120504,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,9,42,8,1,False,0,14,12,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-004,1121201,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,33,198,30,3,False,0,87,49,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-004,1130405,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,39,198,37,2,False,0,91,10,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-004,1130505,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,10,96,8,2,False,0,68,1,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-004,1131105,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,8,17,7,1,False,0,7,2,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-004,1150103,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,7,31,6,1,False,0,10,4,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-005,1130101,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,9,50,8,1,False,0,20,0,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-005,1130109,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,20,73,19,1,False,0,41,10,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-005,1140905,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,8,32,5,3,False,0,10,11,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-005,1141003,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,6,23,4,2,False,0,6,3,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-005,1150102,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,8,32,7,1,False,0,11,4,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-005,1150204,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,13,52,13,0,False,0,25,3,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-006,1120503,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,13,78,12,1,False,0,18,33,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-006,1130108,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,19,39,17,2,False,0,13,7,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-006,1130506,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,26,126,24,2,False,0,101,3,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-006,1130605,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,12,73,10,2,False,0,24,9,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-006,1140102,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,7,13,5,2,False,0,2,2,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-006,1141210,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,7,18,6,1,False,0,6,2,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-007,1120804,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,9,57,7,2,False,0,15,23,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
batch-007,1130105,PARTIAL_REFERENCE_SET,SHEETMETAL_DRAWING,6,37,5,1,False,0,18,0,REFERENCE_PRESENCE_BATCH_AUDIT_PASS,POPPLER_PDFTOPPM
