project_id,run_id,score,coverage,validity,critical_findings,high_findings
1110101,RUN-1110101-CAL006-A,42,38,PASS,0,3
1110101,RUN-1110101-CAL006-B,42,38,PASS,0,3
1110104,RUN-1110104-CAL006-A,42,38,PASS,0,3
1110104,RUN-1110104-CAL006-B,42,38,PASS,0,3
1110204,RUN-1110204-CAL006-A,42,38,PASS,0,3
1110204,RUN-1110204-CAL006-B,42,38,PASS,0,3
1110205,RUN-1110205-CAL006-A,42,38,PASS,0,3
1110205,RUN-1110205-CAL006-B,42,38,PASS,0,3
1110405,RUN-1110405-CAL006-A,42,38,PASS,0,3
1110405,RUN-1110405-CAL006-B,42,38,PASS,0,3
1110410,RUN-1110410-CAL006-A,42,38,PASS,0,3
1110410,RUN-1110410-CAL006-B,42,38,PASS,0,3
