decision_id,project_id,file_id,sheet_id,file_sha256,worksheet_fingerprint,human_decision,reviewer,notes
SGD-19295E5E541E1D,1110101,SRC-ALL-PROJECTS-FILE-5EA283A2BFCE,SRC-ALL-PROJECTS-FILE-5EA283A2BFCE-XLS-UNPARSED,B7CE46826C08C12A84F8AE1308859F177A985D424E9558C12EF5B0FB1B0E6C27,,,,
SGD-5A8CAE302C45DC,1110101,SRC-ALL-PROJECTS-FILE-7D1ACA253B10,SRC-ALL-PROJECTS-FILE-7D1ACA253B10-XLS-UNPARSED,7B922D8C54B6CFE1B8B807DDB67F4688EF721F3D1E5D84A97A8791515D193075,,,,
SGD-8B8331C04F95F9,1110101,SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D,SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D-XLS-UNPARSED,CF908B7F395A04255133367E85553C12E8267EEC55B9FA01CA5778142EABA98E,,,,
SGD-FA07378AEC4A4E,1110101,SRC-ALL-PROJECTS-FILE-C7DCFF2BA19E,SRC-ALL-PROJECTS-FILE-C7DCFF2BA19E-XLS-UNPARSED,E45F0A02BDFDDEB92953F356A433FF6D4AD4C84BA722778ADCFE0845D50F1CF5,,,,
SGD-AACFDF36AEFFE5,1110101,SRC-ALL-PROJECTS-FILE-DE24411C260D,SRC-ALL-PROJECTS-FILE-DE24411C260D-XLS-UNPARSED,A6F8B2BD6B679920144AA61BD560FEE3F2C84763B3E57BDE2A801371879100F2,,,,
SGD-E545F2AD4DC168,1110103,SRC-ALL-PROJECTS-FILE-7EA33A7EBA0E,SRC-ALL-PROJECTS-FILE-7EA33A7EBA0E-XLS-UNPARSED,C85DCB66895791B3C08D8569FE5CF8E0BCBE693FED3377D3782B80114A851195,,,,
SGD-E74EECAFB1F567,1110103,SRC-ALL-PROJECTS-FILE-8CF02C4A8C99,SRC-ALL-PROJECTS-FILE-8CF02C4A8C99-XLS-UNPARSED,F5B9C2D1172F2664938BF0AB5ED5273313DBB15106053063757121B7E258F46E,,,,
SGD-1A5B6C1A83A5F8,1110103,SRC-ALL-PROJECTS-FILE-8F644FF5BC57,SRC-ALL-PROJECTS-FILE-8F644FF5BC57-XLS-UNPARSED,DCF8AD7681F8A56721E9A801D47486BB4CFFC4FC6540EBBA56596CF647A0F812,,,,
SGD-2C0266BF9B2905,1110102,SRC-ALL-PROJECTS-FILE-1F3F04106F02,SRC-ALL-PROJECTS-FILE-1F3F04106F02-XLS-UNPARSED,2630C1FC2FA9B81D25B259DFB5E98613DB5847F2E37AD971F90DF5773B4AC379,,,,
SGD-8982F5F2FCE895,1110102,SRC-ALL-PROJECTS-FILE-9B46EB4D038C,SRC-ALL-PROJECTS-FILE-9B46EB4D038C-XLS-UNPARSED,E4E1AC082FA204F141C046B6A6E7532340612D2F92A7C5B913FF5E5C646E5A85,,,,
SGD-EE39A04C07059A,1110102,SRC-ALL-PROJECTS-FILE-AFE4B23960DC,SRC-ALL-PROJECTS-FILE-AFE4B23960DC-XLS-UNPARSED,8BD2A65FA481A79D78FE03197B78FAC2C2B9EC62990C8E5A76270922A89AD698,,,,
SGD-628D223B34A365,1110104,SRC-ALL-PROJECTS-FILE-4377C2CB6116,SRC-ALL-PROJECTS-FILE-4377C2CB6116-SHEET-001,FFB938D6473065EACA1E5D7E1E1ABE16866BAE88E5A57A47EEF18A99112465DE,31DE29085B628C7C191106E8FEAC74F7281C230CA3FBC977040E1AE7D99E6635,,,
SGD-FCF2F785B0BD18,1110104,SRC-ALL-PROJECTS-FILE-46532BDC693B,SRC-ALL-PROJECTS-FILE-46532BDC693B-XLS-UNPARSED,9A7C81F094879476DB80071DC80BEEB36ED921529E56C401DC872089420A69A4,,,,
SGD-57C8A777DF4127,1110104,SRC-ALL-PROJECTS-FILE-6C7F253617B7,SRC-ALL-PROJECTS-FILE-6C7F253617B7-XLS-UNPARSED,9A9D46BA64A789746A2652FD9A170D8373FCAFAECE825D2ABF91D05285E3A8A6,,,,
SGD-BE3A43BF93A8B5,1110104,SRC-ALL-PROJECTS-FILE-92F5A780C787,SRC-ALL-PROJECTS-FILE-92F5A780C787-XLS-UNPARSED,5950533ECE857CED21C9AF488BB1CBEF7E072319BC0AA8085DDC0B44EAB987D2,,,,
SGD-29710C0EE48604,1110104,SRC-ALL-PROJECTS-FILE-9ECE0255FAC2,SRC-ALL-PROJECTS-FILE-9ECE0255FAC2-SHEET-001,A11D21C62C571D5FC6EC56B69C3AE5ABFD088F54F5877A3ABFF4C10EBD0C0C13,5019008FF406DC39F2867611B1C6DD6231025AEF90ED88ABCF0F94CA51231162,,,
SGD-D81C49DC8B8C31,1110104,SRC-ALL-PROJECTS-FILE-B2B0E1EF630F,SRC-ALL-PROJECTS-FILE-B2B0E1EF630F-XLS-UNPARSED,4B27DBA8A968D8B185B68CB1C88C0D0F96345A25B510C3A0EECFEBAA68F98888,,,,
SGD-7F4C1345ABAE8A,1110203,SRC-ALL-PROJECTS-FILE-1B3BDFA1AAB2,SRC-ALL-PROJECTS-FILE-1B3BDFA1AAB2-XLS-UNPARSED,1A7268E5D7E11A7C2C879A0BC996E6F21FC6F46189CDD4CB9833043FF11EFB4D,,,,
SGD-67DF364730871B,1110203,SRC-ALL-PROJECTS-FILE-634CF8E731A9,SRC-ALL-PROJECTS-FILE-634CF8E731A9-XLS-UNPARSED,2FD82C6B246E048BA990531EF61E80D24DF1140D3D13D4C851142F7337C18C93,,,,
SGD-1B74FC5D859495,1110203,SRC-ALL-PROJECTS-FILE-8E45F60A97E3,SRC-ALL-PROJECTS-FILE-8E45F60A97E3-XLS-UNPARSED,568D2B48872327C105CAA64A23462A987AB0D406D2CFD1CBB0203D5E3FFAC9FB,,,,
SGD-3F02D9BE4AB124,1110203,SRC-ALL-PROJECTS-FILE-9E84C9B57489,SRC-ALL-PROJECTS-FILE-9E84C9B57489-XLS-UNPARSED,AA5B35E2F89EAF2F1DBAF6CCC98BD0EC34E0C3EE60B7949A7AEBF0CAA2AA6E73,,,,
SGD-ABCEB3C4879619,1110203,SRC-ALL-PROJECTS-FILE-BFCEDE0E934D,SRC-ALL-PROJECTS-FILE-BFCEDE0E934D-XLS-UNPARSED,E3DC6AB59AD87A884F65F993B27DBE28B9636CBF9A46F92195B08E699C8351AF,,,,
SGD-F5DD18110FE614,1110203,SRC-ALL-PROJECTS-FILE-F5DB215C4B12,SRC-ALL-PROJECTS-FILE-F5DB215C4B12-XLS-UNPARSED,B3365215E836DD25857EA145E65399FE289460DB132D250E6BCF99D26F507D65,,,,
SGD-DFD387675256CA,1110203,SRC-ALL-PROJECTS-FILE-FF6620F1EFEB,SRC-ALL-PROJECTS-FILE-FF6620F1EFEB-XLS-UNPARSED,0EE3BB665274A9D81A58AF3F009442DA47E5F97C1543E3DC14B6DB6C4569F60D,,,,
SGD-E47CE60F98FBF0,1110204,SRC-ALL-PROJECTS-FILE-1C094DE54353,SRC-ALL-PROJECTS-FILE-1C094DE54353-XLS-UNPARSED,7EB9C31A9F35DC600174F447DEC863BB7679183AC6736DD986BB841244C5CBAD,,,,
SGD-C5E0EFB26076B0,1110204,SRC-ALL-PROJECTS-FILE-54E0F32F1D77,SRC-ALL-PROJECTS-FILE-54E0F32F1D77-XLS-UNPARSED,DE6D4B36FFFF5ED51CB8593C90E2E161BC2C057AC7C4D7076EC395AD7B880EB2,,,,
SGD-5F108DF896D683,1110204,SRC-ALL-PROJECTS-FILE-742A1E5F7FEE,SRC-ALL-PROJECTS-FILE-742A1E5F7FEE-SHEET-001,A34733138D9F846F17B381FA31EECF9AD37697252C4F684F26BAB743C62D487A,E35E4089C1A054A0697ADFE8F789B25C24532EAF66934E0BD23D7919CF075F7A,,,
SGD-343B359609575F,1110204,SRC-ALL-PROJECTS-FILE-742A1E5F7FEE,SRC-ALL-PROJECTS-FILE-742A1E5F7FEE-SHEET-002,A34733138D9F846F17B381FA31EECF9AD37697252C4F684F26BAB743C62D487A,,,,
SGD-1F9E956311AE35,1110204,SRC-ALL-PROJECTS-FILE-742A1E5F7FEE,SRC-ALL-PROJECTS-FILE-742A1E5F7FEE-SHEET-003,A34733138D9F846F17B381FA31EECF9AD37697252C4F684F26BAB743C62D487A,BFD62E07A86628D5D043985E5F82541824B73CBC0DA193CF58A769298DA1F186,,,
SGD-B1D85654CF548B,1110204,SRC-ALL-PROJECTS-FILE-809201460996,SRC-ALL-PROJECTS-FILE-809201460996-XLS-UNPARSED,0C68C8441EBC15BE83215ACD74D9F02733821DD9AA7814DB1E557A14891EB583,,,,
SGD-B45D2F6E06C4AA,1110204,SRC-ALL-PROJECTS-FILE-BC0FE841978B,SRC-ALL-PROJECTS-FILE-BC0FE841978B-XLS-UNPARSED,69C85DF39BADDF761AFACDDD089F8FACF53F08FA7F1C00DD69FC7AF7CFF4830E,,,,
SGD-C39D3A376755C2,1110204,SRC-ALL-PROJECTS-FILE-E7224B2D2459,SRC-ALL-PROJECTS-FILE-E7224B2D2459-XLS-UNPARSED,EE0E5137FDCEA852165F8769657137BE05C63E66A602FB3191F0197DBEC855DD,,,,
SGD-2275B18F389C1A,1110504,SRC-ALL-PROJECTS-FILE-1CD72C81F433,SRC-ALL-PROJECTS-FILE-1CD72C81F433-SHEET-001,F8DA9E91FD4E15411494A382A8BF90DE3A9E201F7C146D607BDC1AFD1847BC45,5CC9A3BC258DBF4CE7BEC7B2E5FFE8B26912783EC96CFBBC8A2BE671374508C1,,,
SGD-8528F2BEFB24A8,1110504,SRC-ALL-PROJECTS-FILE-1CD72C81F433,SRC-ALL-PROJECTS-FILE-1CD72C81F433-SHEET-002,F8DA9E91FD4E15411494A382A8BF90DE3A9E201F7C146D607BDC1AFD1847BC45,1C95923986A9BE77569D90E2DC640BCD643180B03D580A82D0FFBCB66ECBD92B,,,
SGD-A75F5FBE2DB65F,1110504,SRC-ALL-PROJECTS-FILE-1CD72C81F433,SRC-ALL-PROJECTS-FILE-1CD72C81F433-SHEET-003,F8DA9E91FD4E15411494A382A8BF90DE3A9E201F7C146D607BDC1AFD1847BC45,158749A1B0B1F83C4D942C7F552648EBB7CAA4BB1A0A837A01C55E6A73A03122,,,
SGD-F62880104B8FCB,1110504,SRC-ALL-PROJECTS-FILE-1CD72C81F433,SRC-ALL-PROJECTS-FILE-1CD72C81F433-SHEET-004,F8DA9E91FD4E15411494A382A8BF90DE3A9E201F7C146D607BDC1AFD1847BC45,90C980DEE9F906473F1D6163072C52D8006D9838A7C1988B591DEEA15C19AD76,,,
SGD-B942772B4D967E,1110404,SRC-ALL-PROJECTS-FILE-190DB348A6DB,SRC-ALL-PROJECTS-FILE-190DB348A6DB-XLS-UNPARSED,ADE29E68377A07186EABB9CBB73E28AB7C7B8EAE28563AD8B9A709518FFF5347,,,,
SGD-4AAA34B15BC701,1110404,SRC-ALL-PROJECTS-FILE-7213980F8162,SRC-ALL-PROJECTS-FILE-7213980F8162-XLS-UNPARSED,2B918C708B5BB33D8EE6EDF8EB8D87AA5E8EA57A60A8B1D04B0DA575369F8DCD,,,,
SGD-0E8787B29AE33B,1110404,SRC-ALL-PROJECTS-FILE-969ACEDD72F3,SRC-ALL-PROJECTS-FILE-969ACEDD72F3-XLS-UNPARSED,966BC22278A067F5F04A07B94BEC259C46C5F8024AF771FDED1C5957A518293F,,,,
SGD-482AEBBBC709EB,1110404,SRC-ALL-PROJECTS-FILE-9C7505CDBB38,SRC-ALL-PROJECTS-FILE-9C7505CDBB38-XLS-UNPARSED,BB4A8FECCA3D1ED14D54FA6F9A3D0885F34D63160F23C585F6A0955750306501,,,,
SGD-E6BBEA20AAB838,1110404,SRC-ALL-PROJECTS-FILE-BAE592ED9C3A,SRC-ALL-PROJECTS-FILE-BAE592ED9C3A-XLS-UNPARSED,976F802FF970BBE318FB2968310AB3A86C8804D08F9FA8255F9F9D1855743ED1,,,,
SGD-03B5F2F172C34C,1110404,SRC-ALL-PROJECTS-FILE-CA81957454CE,SRC-ALL-PROJECTS-FILE-CA81957454CE-XLS-UNPARSED,460ECF0ECB675D1D074665965459B57663D9B55FF25A1BB4356C135905A26A0A,,,,
