decision_id,relative_path,worksheet_name,worksheet_visibility,proposed_decision,reason_codes,parse_status,worksheet_fingerprint
SGD-8C1C05B6AC4D96,111年度工作\111年度工作\111年度訂單(已完成)\1110205昕辰嘉義縣中埔鄉頂寮村橫坑供水\新陳中埔頂寮橫坑供水會議審查.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-1A20412E3BF4C8,111年度工作\111年度工作\111年度訂單(已完成)\1110205昕辰嘉義縣中埔鄉頂寮村橫坑供水\新陳嘉義中埔頂寮橫坑供水訂單成本分析.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-FD5565DC7BCF22,111年度工作\111年度工作\111年度訂單(已完成)\1110205昕辰嘉義縣中埔鄉頂寮村橫坑供水\中埔頂寮橫坑加壓站合約.xlsx,標單總表,visible,NEEDS_HUMAN_REVIEW,INSUFFICIENT_IDENTITY,PARSED_WITH_FINGERPRINT,7D950BE265457695BA1EE14949BF31DA6AE30A504F829437E56D4234247150AA
SGD-893AF227DF95E8,111年度工作\111年度工作\111年度訂單(已完成)\1110205昕辰嘉義縣中埔鄉頂寮村橫坑供水\中埔頂寮橫坑加壓站合約.xlsx,標單詳細表,visible,AUTO_DENIED,FORBIDDEN_LABEL_OR_ROLE|FORBIDDEN_SOURCE,NOT_PARSED,
SGD-9E7AE8F36A74FD,111年度工作\111年度工作\111年度訂單(已完成)\1110205昕辰嘉義縣中埔鄉頂寮村橫坑供水\中埔頂寮橫坑加壓站合約.xlsx,標單單價分析表,visible,NEEDS_HUMAN_REVIEW,INSUFFICIENT_IDENTITY,PARSED_WITH_FINGERPRINT,CE981650507F57243FC65134AA08A5477415D216FD39B0946A932478ECA28D02
SGD-F6B62B487EEDB0,111年度工作\111年度工作\111年度訂單(已完成)\1110205昕辰嘉義縣中埔鄉頂寮村橫坑供水\新陳中埔頂寮橫坑供水生產能力分析表.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-9D8E790A58C8AE,111年度工作\111年度工作\111年度訂單(已完成)\1110205昕辰嘉義縣中埔鄉頂寮村橫坑供水\新陳嘉義中埔頂寮橫坑供水訂單分項成本分析.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-BD827EA3B0D6BD,111年度工作\111年度工作\111年度訂單(已完成)\1110205昕辰嘉義縣中埔鄉頂寮村橫坑供水\工作記錄單新陳嘉義縣中埔鄉橫坑供水.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-B5CBB9DE92A78B,111年度工作\111年度工作\111年度訂單(已完成)\1110205昕辰嘉義縣中埔鄉頂寮村橫坑供水\中埔頂寮橫坑加壓站材料清單1.xlsx,標單總表,visible,NEEDS_HUMAN_REVIEW,INSUFFICIENT_IDENTITY,PARSED_WITH_FINGERPRINT,7D950BE265457695BA1EE14949BF31DA6AE30A504F829437E56D4234247150AA
SGD-59B788E902970C,111年度工作\111年度工作\111年度訂單(已完成)\1110205昕辰嘉義縣中埔鄉頂寮村橫坑供水\中埔頂寮橫坑加壓站材料清單1.xlsx,標單詳細表,visible,AUTO_DENIED,FORBIDDEN_LABEL_OR_ROLE|FORBIDDEN_SOURCE,NOT_PARSED,
SGD-289C4E13989C26,111年度工作\111年度工作\111年度訂單(已完成)\1110205昕辰嘉義縣中埔鄉頂寮村橫坑供水\中埔頂寮橫坑加壓站材料清單1.xlsx,標單單價分析表,visible,NEEDS_HUMAN_REVIEW,INSUFFICIENT_IDENTITY,PARSED_WITH_FINGERPRINT,CE981650507F57243FC65134AA08A5477415D216FD39B0946A932478ECA28D02
