decision_id,source_root_id,project_id,family_id,relative_path,file_name,file_id,sheet_id,file_sha256,file_size,workbook_format,worksheet_name,worksheet_visibility,worksheet_fingerprint,workbook_sheet_count,detected_project_identifiers,detected_customer_identifiers,detected_document_role,parser_name,parser_version,parse_status,formula_dependency_status,external_link_status,named_range_status,revision_status,duplicate_or_supersession,proposed_decision,final_decision,reason_codes,evidence_references,policy_version,reviewer_or_approver,decision_timestamp,approval_manifest_hash,sanitized_artifact_hash
SGD-19295E5E541E1D,SRC-ALL-PROJECTS,1110101,飛達鳥嘴潭下游送水管E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\飛達鳥嘴潭下游送水管E-2生產能力分析表.xls,飛達鳥嘴潭下游送水管E-2生產能力分析表.xls,SRC-ALL-PROJECTS-FILE-5EA283A2BFCE,SRC-ALL-PROJECTS-FILE-5EA283A2BFCE-XLS-UNPARSED,B7CE46826C08C12A84F8AE1308859F177A985D424E9558C12EF5B0FB1B0E6C27,90112,xls,,unknown,,,1110101,飛達鳥嘴潭下游送水管E,spreadsheet_other,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-5EA283A2BFCE|SRC-ALL-PROJECTS-FILE-5EA283A2BFCE-XLS-UNPARSED,source_guard_policy_v1,,,,
SGD-5A8CAE302C45DC,SRC-ALL-PROJECTS,1110101,飛達鳥嘴潭下游送水管E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\飛達機電鳥嘴潭送水管E-2訂單成本分析.xls,飛達機電鳥嘴潭送水管E-2訂單成本分析.xls,SRC-ALL-PROJECTS-FILE-7D1ACA253B10,SRC-ALL-PROJECTS-FILE-7D1ACA253B10-XLS-UNPARSED,7B922D8C54B6CFE1B8B807DDB67F4688EF721F3D1E5D84A97A8791515D193075,58368,xls,,unknown,,,1110101,飛達鳥嘴潭下游送水管E,spreadsheet_other,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-7D1ACA253B10|SRC-ALL-PROJECTS-FILE-7D1ACA253B10-XLS-UNPARSED,source_guard_policy_v1,,,,
SGD-8B8331C04F95F9,SRC-ALL-PROJECTS,1110101,飛達鳥嘴潭下游送水管E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\飛達鳥嘴潭下游送水管E-2生產合約審查表.xls,飛達鳥嘴潭下游送水管E-2生產合約審查表.xls,SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D,SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D-XLS-UNPARSED,CF908B7F395A04255133367E85553C12E8267EEC55B9FA01CA5778142EABA98E,90624,xls,,unknown,,,1110101,飛達鳥嘴潭下游送水管E,allowed_contract_workbook,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D|SRC-ALL-PROJECTS-FILE-9AA8E8A5BF2D-XLS-UNPARSED,source_guard_policy_v1,,,,
SGD-FA07378AEC4A4E,SRC-ALL-PROJECTS,1110101,飛達鳥嘴潭下游送水管E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\工作記錄單飛達鳥嘴潭下游送水管E-2xls.xls,工作記錄單飛達鳥嘴潭下游送水管E-2xls.xls,SRC-ALL-PROJECTS-FILE-C7DCFF2BA19E,SRC-ALL-PROJECTS-FILE-C7DCFF2BA19E-XLS-UNPARSED,E45F0A02BDFDDEB92953F356A433FF6D4AD4C84BA722778ADCFE0845D50F1CF5,156160,xls,,unknown,,,1110101,飛達鳥嘴潭下游送水管E,spreadsheet_other,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-C7DCFF2BA19E|SRC-ALL-PROJECTS-FILE-C7DCFF2BA19E-XLS-UNPARSED,source_guard_policy_v1,,,,
SGD-AACFDF36AEFFE5,SRC-ALL-PROJECTS,1110101,飛達鳥嘴潭下游送水管E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\鳥嘴潭人工湖下游送水管E-2合約.xls,鳥嘴潭人工湖下游送水管E-2合約.xls,SRC-ALL-PROJECTS-FILE-DE24411C260D,SRC-ALL-PROJECTS-FILE-DE24411C260D-XLS-UNPARSED,A6F8B2BD6B679920144AA61BD560FEE3F2C84763B3E57BDE2A801371879100F2,33792,xls,,unknown,,,1110101,飛達鳥嘴潭下游送水管E,allowed_contract_workbook,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-DE24411C260D|SRC-ALL-PROJECTS-FILE-DE24411C260D-XLS-UNPARSED,source_guard_policy_v1,,,,
SGD-E545F2AD4DC168,SRC-ALL-PROJECTS,1110103,國倫水電,111年度工作\111年度工作\111年度訂單(已完成)\1110103國倫水電控制箱\工作記錄單國倫水電控制箱ls.xls,工作記錄單國倫水電控制箱ls.xls,SRC-ALL-PROJECTS-FILE-7EA33A7EBA0E,SRC-ALL-PROJECTS-FILE-7EA33A7EBA0E-XLS-UNPARSED,C85DCB66895791B3C08D8569FE5CF8E0BCBE693FED3377D3782B80114A851195,154624,xls,,unknown,,,1110103,,spreadsheet_other,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-7EA33A7EBA0E|SRC-ALL-PROJECTS-FILE-7EA33A7EBA0E-XLS-UNPARSED,source_guard_policy_v1,,,,
SGD-E74EECAFB1F567,SRC-ALL-PROJECTS,1110103,國倫水電,111年度工作\111年度工作\111年度訂單(已完成)\1110103國倫水電控制箱\孫先生控制盤材料清單xls.xls,孫先生控制盤材料清單xls.xls,SRC-ALL-PROJECTS-FILE-8CF02C4A8C99,SRC-ALL-PROJECTS-FILE-8CF02C4A8C99-XLS-UNPARSED,F5B9C2D1172F2664938BF0AB5ED5273313DBB15106053063757121B7E258F46E,35328,xls,,unknown,,,1110103,,allowed_material_list_workbook,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-8CF02C4A8C99|SRC-ALL-PROJECTS-FILE-8CF02C4A8C99-XLS-UNPARSED,source_guard_policy_v1,,,,
SGD-1A5B6C1A83A5F8,SRC-ALL-PROJECTS,1110103,國倫水電,111年度工作\111年度工作\111年度訂單(已完成)\1110103國倫水電控制箱\孫先生控制盤新xls.xls,孫先生控制盤新xls.xls,SRC-ALL-PROJECTS-FILE-8F644FF5BC57,SRC-ALL-PROJECTS-FILE-8F644FF5BC57-XLS-UNPARSED,DCF8AD7681F8A56721E9A801D47486BB4CFFC4FC6540EBBA56596CF647A0F812,34304,xls,,unknown,,,1110103,,spreadsheet_other,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-8F644FF5BC57|SRC-ALL-PROJECTS-FILE-8F644FF5BC57-XLS-UNPARSED,source_guard_policy_v1,,,,
SGD-2C0266BF9B2905,SRC-ALL-PROJECTS,1110102,聯電FA,111年度工作\111年度工作\111年度訂單(已完成)\1110102聯電FAB 12A P6擴建工程氨氮廢水處理廠電氣工程\聯電FAB 12A P6擴建工程氨氮廢水處理廠電氣工程(訂單成本分析表).xls,聯電FAB 12A P6擴建工程氨氮廢水處理廠電氣工程(訂單成本分析表).xls,SRC-ALL-PROJECTS-FILE-1F3F04106F02,SRC-ALL-PROJECTS-FILE-1F3F04106F02-XLS-UNPARSED,2630C1FC2FA9B81D25B259DFB5E98613DB5847F2E37AD971F90DF5773B4AC379,38400,xls,,unknown,,,1110102,,spreadsheet_other,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-1F3F04106F02|SRC-ALL-PROJECTS-FILE-1F3F04106F02-XLS-UNPARSED,source_guard_policy_v1,,,,
SGD-8982F5F2FCE895,SRC-ALL-PROJECTS,1110102,聯電FA,111年度工作\111年度工作\111年度訂單(已完成)\1110102聯電FAB 12A P6擴建工程氨氮廢水處理廠電氣工程\聯電FAB 12A P6擴建工程氨氮廢水處理廠電氣工程(生產能力分析表、會議審查).xls,聯電FAB 12A P6擴建工程氨氮廢水處理廠電氣工程(生產能力分析表、會議審查).xls,SRC-ALL-PROJECTS-FILE-9B46EB4D038C,SRC-ALL-PROJECTS-FILE-9B46EB4D038C-XLS-UNPARSED,E4E1AC082FA204F141C046B6A6E7532340612D2F92A7C5B913FF5E5C646E5A85,123904,xls,,unknown,,,1110102,,spreadsheet_other,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-9B46EB4D038C|SRC-ALL-PROJECTS-FILE-9B46EB4D038C-XLS-UNPARSED,source_guard_policy_v1,,,,
