sheet_id,workbook_file_id,sheet_name,visibility,used_range,print_area,named_ranges,external_links,detected_project_id,detected_customer,detected_project_name,detected_date,detected_revision,stale_template_status,stale_evidence,generator_eligibility,approved_by,approval_time,parse_status,notes
SRC-ALL-PROJECTS-FILE-9ECE0255FAC2-SHEET-001,SRC-ALL-PROJECTS-FILE-9ECE0255FAC2,估價單,visible,A1:I159,,,,,,,,,INSUFFICIENT_IDENTITY,材料清單 項目 規    格    說    明 單位 數量 單  價 複  價 備  註 屏東縣林邊溪伏流水示範場址開發計畫 (一) 供電場所配電部份 1 屋外型烤漆不銹鋼電錶箱2.0t(需符合台電法規) 只 1 21000 =SUM(D6*E6) 詳圖 2 錶前閘刀開關 KS-3P-400A-600V 只 1 2600 =SUM(D7*E7) 3 無熔線斷路器NFB-3P-250AF/225AT_25KA-380V 只 1 3500 =SUM(D8*E8) 5 自備桿7.5m水泥電桿及配件 支 1 不含估價 6 錶箱設備接地 R<50Ω 式 1 不含估價 7 台電端設備接地 R<10Ω 式,HUMAN_REVIEW_REQUIRED,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-4377C2CB6116-SHEET-001,SRC-ALL-PROJECTS-FILE-4377C2CB6116,估價單,visible,A1:K159,,,,,,,,,INSUFFICIENT_IDENTITY,材料清單 項目 規    格    說    明 單位 數量 單  價 複  價 廠牌 型號 備  註 屏東縣林邊溪伏流水示範場址開發計畫 (一) 供電場所配電部份 1 屋外型烤漆不銹鋼電錶箱2.0t(需符合台電法規) 只 1 21000 =SUM(D6*E6) 順大電機 詳圖 2 錶前閘刀開關 KS-3P-400A-600V 只 1 2600 =SUM(D7*E7) 光威 3 無熔線斷路器NFB-3P-250AF/225AT_25KA-380V 只 1 3500 =SUM(D8*E8) 士林 NF250-SN 5 自備桿7.5m水泥電桿及配件 支 1 不含估價 6 錶箱設備接地 R<50Ω ,HUMAN_REVIEW_REQUIRED,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-742A1E5F7FEE-SHEET-001,SRC-ALL-PROJECTS-FILE-742A1E5F7FEE,標單總表,visible,A1:G37,,,,,,,,,INSUFFICIENT_IDENTITY,台灣自來水公司第五區管理處 總表[標單] 第 1 頁 共 1 頁 工程名稱 義竹所六區支受援水量計汰換工程 會計科目 施工地點 嘉義縣義竹鄉義竹所轄區 工程編號 WR100501A4 項 次 工  作  項  目 金額(元) 備註 <壹> 施工費：  <一> 施工費：(發包部份)  <A> 施工費(項目)  <B> 職業安全衛生費  <C> 污染防治費  <D> 供給材料保管費  <E> 品管費  <F> 包商利潤及什費  <G> 承商管理及工程保險補助費  <H> 工程用水費   小計  <二> 物價指數調整費 (承商投標時勿填列) <貳> 營業稅   總價                 ,HUMAN_REVIEW_REQUIRED,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-742A1E5F7FEE-SHEET-003,SRC-ALL-PROJECTS-FILE-742A1E5F7FEE,標單單價分析表,visible,A1:G1848,,,,,,,,,INSUFFICIENT_IDENTITY,台灣自來水公司第五區管理處 單價分析表[標單] 工程名稱：義竹所六區支受援水量計汰換工程 項次： 工程編號：WR100501A4 第 1 頁 共 44 頁 1 工作項目：自來水用金屬管材另件，標稱管徑300mm，日間施工，埋設 單位：M/件 計價代碼：025010D11A 工料名稱 單位 數量 單價 複價 編碼(備註) 開挖機，0.60~0.69m3，總重12噸 時 0.09  技術工 工 0.02  大工 工 0.02  零星工料 式 1  計 M/件                               人工：　　　　　　　　機具：　　　　　　　　 每 M/件 單價計 材料：　　　　,HUMAN_REVIEW_REQUIRED,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-32344781657C-SHEET-001,SRC-ALL-PROJECTS-FILE-32344781657C,標單總表,visible,A1:G36,,,,,,,,,INSUFFICIENT_IDENTITY,台灣自來水公司第五區管理處 總表[標單] 第 1 頁 共 1 頁 工程名稱 嘉縣中埔鄉頂埔村橫坑供水延管工程-機電 會計科目 施工地點 嘉義縣中埔鄉 工程編號 PI11050102 項 次 工  作  項  目 金額(元) 備註 <壹> 施工費：  <一> 　施工費：(發包部份)  <A> 　　施工費(項目)  <B> 　　污染防治費 0  <C> 　　職業安全衛生費  <D> 　　包商利潤及什費  <E> 　　品管費  <F> 　　承商管理及工程保險補助費  <G> 　　工程用水費   小計  <二> 　物價指數調整 0 (承商投標時勿填列) <貳> 營業稅   總價            ,HUMAN_REVIEW_REQUIRED,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-32344781657C-SHEET-003,SRC-ALL-PROJECTS-FILE-32344781657C,標單單價分析表,visible,A1:G42,,,,,,,,,INSUFFICIENT_IDENTITY,台灣自來水公司第五區管理處 單價分析表[標單] 工程名稱：嘉縣中埔鄉頂埔村橫坑供水延管工程-機電 項次： 工程編號：PI11050102 第 1 頁 共 1 頁 1 工作項目：職業安全衛生，保護器材，電感防止，高壓電線包裹防護費# 單位：M 計價代碼：015742B0011 工料名稱 單位 數量 單價 複價 編碼(備註) 產品，職業安全衛生，保護器材，電感防止，絕緣保護套管 M 1  工資 式 0.35  工具損耗 式 1  計 M                                   人工：　　　　　　　　機具：　　　　　　　　 每 M 單價計 材料：　　　　　　　　雜項：　　,HUMAN_REVIEW_REQUIRED,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-E507D1D25963-SHEET-001,SRC-ALL-PROJECTS-FILE-E507D1D25963,標單總表,visible,A1:G36,,,,,,,,,INSUFFICIENT_IDENTITY,台灣自來水公司第五區管理處 總表[標單] 第 1 頁 共 1 頁 工程名稱 嘉縣中埔鄉頂埔村橫坑供水延管工程-機電 會計科目 施工地點 嘉義縣中埔鄉 工程編號 PI11050102 項 次 工  作  項  目 金額(元) 備註 <壹> 施工費：  <一> 　施工費：(發包部份)  <A> 　　施工費(項目)  <B> 　　污染防治費 0  <C> 　　職業安全衛生費  <D> 　　包商利潤及什費  <E> 　　品管費  <F> 　　承商管理及工程保險補助費  <G> 　　工程用水費   小計  <二> 　物價指數調整 0 (承商投標時勿填列) <貳> 營業稅   總價            ,HUMAN_REVIEW_REQUIRED,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-E507D1D25963-SHEET-003,SRC-ALL-PROJECTS-FILE-E507D1D25963,標單單價分析表,visible,A1:G42,,,,,,,,,INSUFFICIENT_IDENTITY,台灣自來水公司第五區管理處 單價分析表[標單] 工程名稱：嘉縣中埔鄉頂埔村橫坑供水延管工程-機電 項次： 工程編號：PI11050102 第 1 頁 共 1 頁 1 工作項目：職業安全衛生，保護器材，電感防止，高壓電線包裹防護費# 單位：M 計價代碼：015742B0011 工料名稱 單位 數量 單價 複價 編碼(備註) 產品，職業安全衛生，保護器材，電感防止，絕緣保護套管 M 1  工資 式 0.35  工具損耗 式 1  計 M                                   人工：　　　　　　　　機具：　　　　　　　　 每 M 單價計 材料：　　　　　　　　雜項：　　,HUMAN_REVIEW_REQUIRED,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-5A7221226009-SHEET-001,SRC-ALL-PROJECTS-FILE-5A7221226009,標單總表,visible,A1:G36,,,,,,,,,INSUFFICIENT_IDENTITY,台灣自來水公司第五區管理處 總表[標單] 第 1 頁 共 1 頁 工程名稱 古坑所梅山站支援竹崎所機電工程 會計科目 施工地點 嘉義縣梅山鄉 工程編號 WR100519A8 項 次 工  作  項  目 金額(元) 備註 <壹> 施工費：  <一> 　施工費：(發包部份)  <A> 　　施工費(項目)  <B> 　　污染防治費  <C> 　　職業安全衛生費  <D> 　　品管費  <E> 　　承商管理及工程保險補助費  <F> 　　包商利潤及什費  小計  <二> 　物價指數調整款  <貳> 營業稅   總價                                           ,HUMAN_REVIEW_REQUIRED,,,PARSED,all_project_ids=
SRC-ALL-PROJECTS-FILE-5A7221226009-SHEET-002,SRC-ALL-PROJECTS-FILE-5A7221226009,標單詳細表,visible,A1:H96,,,,,,,,,INSUFFICIENT_IDENTITY,"台灣自來水公司第五區管理處 材料清單 第 1 頁 共 6 頁 工程名稱 古坑所梅山站支援竹崎所機電工程 會計科目 施工地點 嘉義縣梅山鄉 工程編號 WR100519A8 項 次 項  目  及  說  明 單 位 數 量 單 價 複 價 編碼(備註) 項 次 項  目  及  說  明 單 位 數 量 單 價 複價     備     註 <一> 　施工費：(發包部份)    <A> 　　施工費(項目)    1 產品，沉水式電動抽水機，7.5≦額定功率＜15kW備機用(含廠內組裝,試水,附件及運費) 套 7 不含估價 詳規範 2 產品，沉水式電動抽水機，25≦額定功率＜40kW含廠內組裝,試",HUMAN_REVIEW_REQUIRED,,,PARSED,all_project_ids=
